UF;Codigo da Infracao;Quantidade
ACRE;5002;72
ALAGOAS;5002;237
AMAZONAS;5002;201
AMAPA;5002;21
BAHIA;5002;6964
CEARA;5002;678
DISTRITO FEDERAL;5002;2184
ESPIRITO SANTO;5002;5298
GOIAS;5002;9300
MARANHAO;5002;281
MATO GROSSO;5002;2123
MATO GROSSO DO SUL;5002;4523
MINAS GERAIS;5002;47886
PARA;5002;704
PARAIBA;5002;189
PARANA;5002;23471
PERNAMBUCO;5002;1105
PIAUI;5002;180
RIO DE JANEIRO;5002;14110
RIO GRANDE DO NORTE;5002;253
RIO GRANDE DO SUL;5002;15827
RONDONIA;5002;602
RORAIMA;5002;26
SANTA CATARINA;5002;24242
SAO PAULO;5002;185119
SERGIPE;5002;262
TOCANTINS;5002;453
ACRE;5010;159
ALAGOAS;5010;1228
AMAZONAS;5010;389
AMAPA;5010;208
BAHIA;5010;1153
CEARA;5010;2751
DISTRITO FEDERAL;5010;985
ESPIRITO SANTO;5010;602
GOIAS;5010;4310
MARANHAO;5010;578
MATO GROSSO;5010;969
MATO GROSSO DO SUL;5010;852
MINAS GERAIS;5010;12780
PARA;5010;453
PARAIBA;5010;324
PARANA;5010;2402
PERNAMBUCO;5010;2021
PIAUI;5010;110
RIO DE JANEIRO;5010;1057
RIO GRANDE DO NORTE;5010;701
RIO GRANDE DO SUL;5010;10065
RONDONIA;5010;934
RORAIMA;5010;161
SANTA CATARINA;5010;2941
SAO PAULO;5010;10907
SERGIPE;5010;656
TOCANTINS;5010;221
ACRE;5029;4
ALAGOAS;5029;4
AMAZONAS;5029;15
AMAPA;5029;6
BAHIA;5029;10
CEARA;5029;10
DISTRITO FEDERAL;5029;45
ESPIRITO SANTO;5029;99
GOIAS;5029;26
MARANHAO;5029;2
MATO GROSSO;5029;7
MATO GROSSO DO SUL;5029;14
MINAS GERAIS;5029;447
PARA;5029;1
PARAIBA;5029;9
PARANA;5029;446
PERNAMBUCO;5029;33
RIO DE JANEIRO;5029;219
RIO GRANDE DO NORTE;5029;3
RIO GRANDE DO SUL;5029;2496
RONDONIA;5029;7
SANTA CATARINA;5029;245
SAO PAULO;5029;1822
SERGIPE;5029;11
TOCANTINS;5029;1
ACRE;5037;9
ALAGOAS;5037;50
AMAZONAS;5037;44
AMAPA;5037;10
BAHIA;5037;40
CEARA;5037;133
DISTRITO FEDERAL;5037;52
ESPIRITO SANTO;5037;34
GOIAS;5037;277
MARANHAO;5037;10
MATO GROSSO;5037;27
MATO GROSSO DO SUL;5037;48
MINAS GERAIS;5037;969
PARA;5037;7
PARAIBA;5037;6
PARANA;5037;159
PERNAMBUCO;5037;65
PIAUI;5037;6
RIO DE JANEIRO;5037;54
RIO GRANDE DO NORTE;5037;9
RIO GRANDE DO SUL;5037;853
RONDONIA;5037;23
RORAIMA;5037;6
SANTA CATARINA;5037;134
SAO PAULO;5037;744
SERGIPE;5037;19
TOCANTINS;5037;4
ACRE;5045;90
ALAGOAS;5045;137
AMAZONAS;5045;129
AMAPA;5045;88
BAHIA;5045;405
CEARA;5045;838
DISTRITO FEDERAL;5045;611
ESPIRITO SANTO;5045;154
GOIAS;5045;1482
MARANHAO;5045;77
MATO GROSSO;5045;204
MATO GROSSO DO SUL;5045;211
MINAS GERAIS;5045;2082
PARA;5045;98
PARAIBA;5045;46
PARANA;5045;473
PERNAMBUCO;5045;488
PIAUI;5045;26
RIO DE JANEIRO;5045;340
RIO GRANDE DO NORTE;5045;110
RIO GRANDE DO SUL;5045;2516
RONDONIA;5045;260
RORAIMA;5045;18
SANTA CATARINA;5045;1575
SAO PAULO;5045;5757
SERGIPE;5045;119
TOCANTINS;5045;50
ACRE;5053;6
ALAGOAS;5053;33
AMAZONAS;5053;21
AMAPA;5053;1
BAHIA;5053;96
CEARA;5053;317
DISTRITO FEDERAL;5053;31
ESPIRITO SANTO;5053;12
GOIAS;5053;326
MARANHAO;5053;6
MATO GROSSO;5053;13
MATO GROSSO DO SUL;5053;13
MINAS GERAIS;5053;230
PARA;5053;19
PARAIBA;5053;28
PARANA;5053;28
PERNAMBUCO;5053;126
PIAUI;5053;10
RIO DE JANEIRO;5053;6
RIO GRANDE DO NORTE;5053;18
RIO GRANDE DO SUL;5053;115
RONDONIA;5053;3
SANTA CATARINA;5053;132
SAO PAULO;5053;258
SERGIPE;5053;6
TOCANTINS;5053;4
ACRE;5061;9
ALAGOAS;5061;32
AMAZONAS;5061;6
AMAPA;5061;4
BAHIA;5061;74
CEARA;5061;82
DISTRITO FEDERAL;5061;21
ESPIRITO SANTO;5061;10
GOIAS;5061;46
MARANHAO;5061;17
MATO GROSSO;5061;17
MATO GROSSO DO SUL;5061;44
MINAS GERAIS;5061;198
PARA;5061;15
PARAIBA;5061;15
PARANA;5061;40
PERNAMBUCO;5061;41
PIAUI;5061;3
RIO DE JANEIRO;5061;10
RIO GRANDE DO NORTE;5061;4
RIO GRANDE DO SUL;5061;148
RONDONIA;5061;54
RORAIMA;5061;1
SANTA CATARINA;5061;118
SAO PAULO;5061;405
SERGIPE;5061;15
TOCANTINS;5061;6
CEARA;5070;1
DISTRITO FEDERAL;5070;1
MATO GROSSO;5070;1
MINAS GERAIS;5070;2
PARA;5070;1
PARANA;5070;6
PERNAMBUCO;5070;2
RIO DE JANEIRO;5070;2
RIO GRANDE DO SUL;5070;99
SANTA CATARINA;5070;6
SAO PAULO;5070;41
ALAGOAS;5088;1
AMAZONAS;5088;1
AMAPA;5088;1
CEARA;5088;5
GOIAS;5088;2
MATO GROSSO;5088;1
MATO GROSSO DO SUL;5088;2
MINAS GERAIS;5088;15
PARANA;5088;3
PERNAMBUCO;5088;3
RIO GRANDE DO SUL;5088;32
SANTA CATARINA;5088;7
SAO PAULO;5088;17
ALAGOAS;5096;1
BAHIA;5096;11
CEARA;5096;30
ESPIRITO SANTO;5096;2
GOIAS;5096;9
MATO GROSSO;5096;2
MATO GROSSO DO SUL;5096;4
MINAS GERAIS;5096;14
PARAIBA;5096;1
PARANA;5096;21
PERNAMBUCO;5096;4
RIO DE JANEIRO;5096;6
RIO GRANDE DO NORTE;5096;2
RIO GRANDE DO SUL;5096;142
RONDONIA;5096;8
RORAIMA;5096;1
SANTA CATARINA;5096;87
SAO PAULO;5096;106
SERGIPE;5096;1
AMAZONAS;5100;1
CEARA;5100;8
GOIAS;5100;1
MINAS GERAIS;5100;1
PERNAMBUCO;5100;3
PIAUI;5100;1
RIO GRANDE DO SUL;5100;4
SAO PAULO;5100;7
ACRE;5118;87
ALAGOAS;5118;133
AMAZONAS;5118;180
AMAPA;5118;73
BAHIA;5118;183
CEARA;5118;1920
DISTRITO FEDERAL;5118;45
ESPIRITO SANTO;5118;311
GOIAS;5118;143
MARANHAO;5118;18
MATO GROSSO;5118;26
MATO GROSSO DO SUL;5118;267
MINAS GERAIS;5118;1313
PARA;5118;72
PARAIBA;5118;52
PARANA;5118;1646
PERNAMBUCO;5118;350
PIAUI;5118;32
RIO DE JANEIRO;5118;81
RIO GRANDE DO NORTE;5118;39
RIO GRANDE DO SUL;5118;1972
RONDONIA;5118;352
RORAIMA;5118;12
SANTA CATARINA;5118;1364
SAO PAULO;5118;2595
SERGIPE;5118;23
TOCANTINS;5118;23
ACRE;5126;4
AMAPA;5126;4
BAHIA;5126;2
CEARA;5126;4
DISTRITO FEDERAL;5126;1
ESPIRITO SANTO;5126;32
GOIAS;5126;2
MARANHAO;5126;1
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;7
MINAS GERAIS;5126;52
PARA;5126;1
PARAIBA;5126;1
PARANA;5126;174
PERNAMBUCO;5126;3
RIO DE JANEIRO;5126;6
RIO GRANDE DO NORTE;5126;1
RIO GRANDE DO SUL;5126;359
RONDONIA;5126;3
SANTA CATARINA;5126;75
SAO PAULO;5126;355
ACRE;5134;3
ALAGOAS;5134;2
AMAZONAS;5134;6
AMAPA;5134;4
BAHIA;5134;4
CEARA;5134;85
DISTRITO FEDERAL;5134;2
ESPIRITO SANTO;5134;5
GOIAS;5134;20
MATO GROSSO;5134;2
MATO GROSSO DO SUL;5134;11
MINAS GERAIS;5134;103
PARAIBA;5134;2
PARANA;5134;52
PERNAMBUCO;5134;8
PIAUI;5134;3
RIO DE JANEIRO;5134;1
RIO GRANDE DO SUL;5134;149
RONDONIA;5134;5
RORAIMA;5134;1
SANTA CATARINA;5134;43
SAO PAULO;5134;156
ACRE;5142;21
ALAGOAS;5142;1
AMAZONAS;5142;6
AMAPA;5142;18
BAHIA;5142;50
CEARA;5142;466
DISTRITO FEDERAL;5142;16
ESPIRITO SANTO;5142;39
GOIAS;5142;56
MARANHAO;5142;4
MATO GROSSO;5142;9
MATO GROSSO DO SUL;5142;41
MINAS GERAIS;5142;194
PARA;5142;6
PARAIBA;5142;3
PARANA;5142;208
PERNAMBUCO;5142;27
PIAUI;5142;7
RIO DE JANEIRO;5142;12
RIO GRANDE DO NORTE;5142;7
RIO GRANDE DO SUL;5142;402
RONDONIA;5142;98
RORAIMA;5142;1
SANTA CATARINA;5142;337
SAO PAULO;5142;908
SERGIPE;5142;5
TOCANTINS;5142;7
ALAGOAS;5150;2
BAHIA;5150;1
CEARA;5150;137
DISTRITO FEDERAL;5150;1
ESPIRITO SANTO;5150;2
GOIAS;5150;3
MATO GROSSO;5150;1
MATO GROSSO DO SUL;5150;4
MINAS GERAIS;5150;19
PARA;5150;1
PARAIBA;5150;6
PARANA;5150;4
PERNAMBUCO;5150;6
PIAUI;5150;2
RIO DE JANEIRO;5150;3
RIO GRANDE DO NORTE;5150;4
RIO GRANDE DO SUL;5150;46
RONDONIA;5150;1
SANTA CATARINA;5150;16
SAO PAULO;5150;40
ACRE;5169;73
ALAGOAS;5169;51
AMAZONAS;5169;218
AMAPA;5169;60
BAHIA;5169;210
CEARA;5169;126
DISTRITO FEDERAL;5169;354
ESPIRITO SANTO;5169;111
GOIAS;5169;450
MARANHAO;5169;106
MATO GROSSO;5169;96
MATO GROSSO DO SUL;5169;206
MINAS GERAIS;5169;1519
PARA;5169;47
PARAIBA;5169;36
PARANA;5169;560
PERNAMBUCO;5169;140
PIAUI;5169;17
RIO DE JANEIRO;5169;149
RIO GRANDE DO NORTE;5169;41
RIO GRANDE DO SUL;5169;394
RONDONIA;5169;467
RORAIMA;5169;29
SANTA CATARINA;5169;503
SAO PAULO;5169;2434
SERGIPE;5169;63
TOCANTINS;5169;36
ALAGOAS;5177;2
AMAZONAS;5177;1
AMAPA;5177;1
BAHIA;5177;1
CEARA;5177;1
DISTRITO FEDERAL;5177;3
ESPIRITO SANTO;5177;4
MATO GROSSO DO SUL;5177;7
MINAS GERAIS;5177;22
PARANA;5177;37
PERNAMBUCO;5177;2
RIO GRANDE DO NORTE;5177;1
RIO GRANDE DO SUL;5177;32
RONDONIA;5177;4
SANTA CATARINA;5177;8
SAO PAULO;5177;45
ACRE;5185;103
ALAGOAS;5185;713
AMAZONAS;5185;1653
AMAPA;5185;602
BAHIA;5185;5226
CEARA;5185;2399
DISTRITO FEDERAL;5185;4976
ESPIRITO SANTO;5185;656
GOIAS;5185;10096
MARANHAO;5185;820
MATO GROSSO;5185;3402
MATO GROSSO DO SUL;5185;1202
MINAS GERAIS;5185;14684
PARA;5185;1065
PARAIBA;5185;2051
PARANA;5185;6901
PERNAMBUCO;5185;3107
PIAUI;5185;2592
RIO DE JANEIRO;5185;4814
RIO GRANDE DO NORTE;5185;1721
RIO GRANDE DO SUL;5185;8323
RONDONIA;5185;900
RORAIMA;5185;418
SANTA CATARINA;5185;11467
SAO PAULO;5185;76664
SERGIPE;5185;394
TOCANTINS;5185;972
ACRE;5193;6
ALAGOAS;5193;98
AMAZONAS;5193;99
AMAPA;5193;21
BAHIA;5193;262
CEARA;5193;374
DISTRITO FEDERAL;5193;227
ESPIRITO SANTO;5193;44
GOIAS;5193;535
MARANHAO;5193;46
MATO GROSSO;5193;153
MATO GROSSO DO SUL;5193;96
MINAS GERAIS;5193;888
PARA;5193;122
PARAIBA;5193;74
PARANA;5193;576
PERNAMBUCO;5193;272
PIAUI;5193;73
RIO DE JANEIRO;5193;260
RIO GRANDE DO NORTE;5193;66
RIO GRANDE DO SUL;5193;668
RONDONIA;5193;56
RORAIMA;5193;13
SANTA CATARINA;5193;544
SAO PAULO;5193;3369
SERGIPE;5193;40
TOCANTINS;5193;32
ACRE;5207;63
ALAGOAS;5207;156
AMAZONAS;5207;41
AMAPA;5207;19
BAHIA;5207;228
CEARA;5207;525
DISTRITO FEDERAL;5207;603
ESPIRITO SANTO;5207;99
GOIAS;5207;4182
MARANHAO;5207;99
MATO GROSSO;5207;296
MATO GROSSO DO SUL;5207;100
MINAS GERAIS;5207;2462
PARA;5207;69
PARAIBA;5207;186
PARANA;5207;576
PERNAMBUCO;5207;1812
PIAUI;5207;43
RIO DE JANEIRO;5207;318
RIO GRANDE DO NORTE;5207;472
RIO GRANDE DO SUL;5207;1169
RONDONIA;5207;81
RORAIMA;5207;30
SANTA CATARINA;5207;1375
SAO PAULO;5207;16927
SERGIPE;5207;79
TOCANTINS;5207;46
ACRE;5215;8
ALAGOAS;5215;25
AMAZONAS;5215;64
AMAPA;5215;5
BAHIA;5215;119
CEARA;5215;78
DISTRITO FEDERAL;5215;30
ESPIRITO SANTO;5215;14
GOIAS;5215;106
MARANHAO;5215;12
MATO GROSSO;5215;18
MATO GROSSO DO SUL;5215;23
MINAS GERAIS;5215;479
PARA;5215;59
PARAIBA;5215;31
PARANA;5215;100
PERNAMBUCO;5215;56
PIAUI;5215;3
RIO DE JANEIRO;5215;237
RIO GRANDE DO NORTE;5215;14
RIO GRANDE DO SUL;5215;99
RONDONIA;5215;29
RORAIMA;5215;4
SANTA CATARINA;5215;91
SAO PAULO;5215;1348
SERGIPE;5215;14
TOCANTINS;5215;24
AMAZONAS;5223;2
BAHIA;5223;2
DISTRITO FEDERAL;5223;2
GOIAS;5223;21
MATO GROSSO;5223;1
MATO GROSSO DO SUL;5223;1
MINAS GERAIS;5223;4
PARA;5223;1
PARAIBA;5223;1
PARANA;5223;4
PERNAMBUCO;5223;3
PIAUI;5223;1
RIO DE JANEIRO;5223;4
RIO GRANDE DO NORTE;5223;1
RIO GRANDE DO SUL;5223;6
SANTA CATARINA;5223;1
SAO PAULO;5223;14
SERGIPE;5223;7
TOCANTINS;5223;1
ACRE;5231;2
ALAGOAS;5231;5
AMAZONAS;5231;2
BAHIA;5231;8
CEARA;5231;5
DISTRITO FEDERAL;5231;43
ESPIRITO SANTO;5231;6
GOIAS;5231;46
MATO GROSSO;5231;5
MATO GROSSO DO SUL;5231;3
MINAS GERAIS;5231;80
PARANA;5231;48
PERNAMBUCO;5231;28
PIAUI;5231;8
RIO DE JANEIRO;5231;17
RIO GRANDE DO NORTE;5231;2
RIO GRANDE DO SUL;5231;48
SANTA CATARINA;5231;80
SAO PAULO;5231;527
AMAZONAS;5240;2
BAHIA;5240;5
CEARA;5240;4
ESPIRITO SANTO;5240;1
GOIAS;5240;1
MATO GROSSO;5240;2
MINAS GERAIS;5240;3
PARA;5240;47
PARANA;5240;4
PERNAMBUCO;5240;1
RIO DE JANEIRO;5240;6
RIO GRANDE DO SUL;5240;4
SANTA CATARINA;5240;3
SAO PAULO;5240;50
ACRE;5258;2
ALAGOAS;5258;5
AMAPA;5258;2
BAHIA;5258;7
CEARA;5258;3
ESPIRITO SANTO;5258;1
GOIAS;5258;30
MATO GROSSO;5258;7
MATO GROSSO DO SUL;5258;2
MINAS GERAIS;5258;25
PARA;5258;2
PARAIBA;5258;1
PARANA;5258;4
PERNAMBUCO;5258;5
RIO DE JANEIRO;5258;18
RIO GRANDE DO SUL;5258;3
SANTA CATARINA;5258;17
SAO PAULO;5258;135
SERGIPE;5258;2
TOCANTINS;5258;1
ACRE;5266;1
AMAPA;5266;1
BAHIA;5266;4
CEARA;5266;3
ESPIRITO SANTO;5266;1
GOIAS;5266;3
MATO GROSSO;5266;2
MATO GROSSO DO SUL;5266;2
MINAS GERAIS;5266;8
PARANA;5266;2
PERNAMBUCO;5266;3
PIAUI;5266;1
RIO DE JANEIRO;5266;23
RIO GRANDE DO SUL;5266;2
RONDONIA;5266;1
SANTA CATARINA;5266;11
SAO PAULO;5266;70
ACRE;5274;15
ALAGOAS;5274;30
AMAZONAS;5274;18
AMAPA;5274;19
BAHIA;5274;101
CEARA;5274;141
DISTRITO FEDERAL;5274;64
ESPIRITO SANTO;5274;19
GOIAS;5274;309
MARANHAO;5274;100
MATO GROSSO;5274;153
MATO GROSSO DO SUL;5274;68
MINAS GERAIS;5274;506
PARA;5274;42
PARAIBA;5274;29
PARANA;5274;214
PERNAMBUCO;5274;170
PIAUI;5274;7
RIO DE JANEIRO;5274;39
RIO GRANDE DO NORTE;5274;12
RIO GRANDE DO SUL;5274;385
RONDONIA;5274;91
RORAIMA;5274;12
SANTA CATARINA;5274;301
SAO PAULO;5274;1672
SERGIPE;5274;47
TOCANTINS;5274;8
ACRE;5282;3
AMAPA;5282;4
BAHIA;5282;3
CEARA;5282;5
DISTRITO FEDERAL;5282;2
ESPIRITO SANTO;5282;6
GOIAS;5282;7
MATO GROSSO;5282;13
MATO GROSSO DO SUL;5282;3
MINAS GERAIS;5282;48
PARAIBA;5282;2
PARANA;5282;15
PERNAMBUCO;5282;3
RIO DE JANEIRO;5282;1
RIO GRANDE DO NORTE;5282;5
RIO GRANDE DO SUL;5282;12
RONDONIA;5282;6
RORAIMA;5282;4
SANTA CATARINA;5282;25
SAO PAULO;5282;30
SERGIPE;5282;3
TOCANTINS;5282;3
ACRE;5290;1
DISTRITO FEDERAL;5290;1
ESPIRITO SANTO;5290;1
GOIAS;5290;2
MATO GROSSO;5290;1
MATO GROSSO DO SUL;5290;1
MINAS GERAIS;5290;5
PARAIBA;5290;1
PARANA;5290;2
PERNAMBUCO;5290;1
RIO GRANDE DO NORTE;5290;2
