UF;Codigo da Infraçcao;Quantidade
ACRE;5002;46
ALAGOAS;5002;49
AMAZONAS;5002;87
AMAPA;5002;8
BAHIA;5002;841
CEARA;5002;175
DISTRITO FEDERAL;5002;543
ESPIRITO SANTO;5002;744
GOIAS;5002;4805
MARANHAO;5002;102
MATO GROSSO;5002;1537
MATO GROSSO DO SUL;5002;3236
MINAS GERAIS;5002;41674
PARA;5002;318
PARAIBA;5002;30
PARANA;5002;29470
PERNAMBUCO;5002;371
PIAUI;5002;75
RIO DE JANEIRO;5002;1672
RIO GRANDE DO NORTE;5002;82
RIO GRANDE DO SUL;5002;6621
RONDONIA;5002;274
RORAIMA;5002;20
SANTA CATARINA;5002;12856
SAO PAULO;5002;126905
SERGIPE;5002;47
TOCANTINS;5002;261
ACRE;5010;538
ALAGOAS;5010;510
AMAZONAS;5010;487
AMAPA;5010;174
BAHIA;5010;1044
CEARA;5010;2424
DISTRITO FEDERAL;5010;855
ESPIRITO SANTO;5010;1141
GOIAS;5010;3282
MARANHAO;5010;500
MATO GROSSO;5010;810
MATO GROSSO DO SUL;5010;645
MINAS GERAIS;5010;9361
PARA;5010;341
PARAIBA;5010;649
PARANA;5010;2229
PERNAMBUCO;5010;2335
PIAUI;5010;90
RIO DE JANEIRO;5010;1295
RIO GRANDE DO NORTE;5010;565
RIO GRANDE DO SUL;5010;6147
RONDONIA;5010;289
RORAIMA;5010;126
SANTA CATARINA;5010;1578
SAO PAULO;5010;9411
SERGIPE;5010;255
TOCANTINS;5010;264
ACRE;5029;10
ALAGOAS;5029;5
AMAZONAS;5029;5
AMAPA;5029;5
BAHIA;5029;6
CEARA;5029;19
DISTRITO FEDERAL;5029;53
ESPIRITO SANTO;5029;164
GOIAS;5029;22
MARANHAO;5029;2
MATO GROSSO;5029;2
MATO GROSSO DO SUL;5029;17
MINAS GERAIS;5029;336
PARAIBA;5029;17
PARANA;5029;399
PERNAMBUCO;5029;30
PIAUI;5029;1
RIO DE JANEIRO;5029;225
RIO GRANDE DO NORTE;5029;2
RIO GRANDE DO SUL;5029;1535
RONDONIA;5029;2
SANTA CATARINA;5029;192
SAO PAULO;5029;1242
SERGIPE;5029;5
TOCANTINS;5029;1
ACRE;5037;29
ALAGOAS;5037;24
AMAZONAS;5037;36
AMAPA;5037;8
BAHIA;5037;42
CEARA;5037;142
DISTRITO FEDERAL;5037;46
ESPIRITO SANTO;5037;40
GOIAS;5037;165
MARANHAO;5037;13
MATO GROSSO;5037;17
MATO GROSSO DO SUL;5037;34
MINAS GERAIS;5037;655
PARA;5037;9
PARAIBA;5037;20
PARANA;5037;143
PERNAMBUCO;5037;77
PIAUI;5037;7
RIO DE JANEIRO;5037;59
RIO GRANDE DO NORTE;5037;15
RIO GRANDE DO SUL;5037;507
RONDONIA;5037;6
RORAIMA;5037;1
SANTA CATARINA;5037;71
SAO PAULO;5037;540
SERGIPE;5037;7
TOCANTINS;5037;4
ACRE;5045;309
ALAGOAS;5045;85
AMAZONAS;5045;136
AMAPA;5045;50
BAHIA;5045;342
CEARA;5045;753
DISTRITO FEDERAL;5045;538
ESPIRITO SANTO;5045;231
GOIAS;5045;1108
MARANHAO;5045;72
MATO GROSSO;5045;226
MATO GROSSO DO SUL;5045;165
MINAS GERAIS;5045;1567
PARA;5045;75
PARAIBA;5045;95
PARANA;5045;445
PERNAMBUCO;5045;624
PIAUI;5045;33
RIO DE JANEIRO;5045;312
RIO GRANDE DO NORTE;5045;106
RIO GRANDE DO SUL;5045;1269
RONDONIA;5045;71
RORAIMA;5045;15
SANTA CATARINA;5045;817
SAO PAULO;5045;4099
SERGIPE;5045;57
TOCANTINS;5045;57
ACRE;5053;13
ALAGOAS;5053;17
AMAZONAS;5053;21
BAHIA;5053;115
CEARA;5053;323
DISTRITO FEDERAL;5053;37
ESPIRITO SANTO;5053;10
GOIAS;5053;227
MARANHAO;5053;9
MATO GROSSO;5053;24
MATO GROSSO DO SUL;5053;9
MINAS GERAIS;5053;138
PARA;5053;12
PARAIBA;5053;43
PARANA;5053;38
PERNAMBUCO;5053;125
PIAUI;5053;14
RIO DE JANEIRO;5053;9
RIO GRANDE DO NORTE;5053;24
RIO GRANDE DO SUL;5053;73
RONDONIA;5053;5
SANTA CATARINA;5053;63
SAO PAULO;5053;106
SERGIPE;5053;4
TOCANTINS;5053;4
ACRE;5061;13
ALAGOAS;5061;8
AMAZONAS;5061;1
BAHIA;5061;69
CEARA;5061;37
DISTRITO FEDERAL;5061;18
ESPIRITO SANTO;5061;23
GOIAS;5061;43
MARANHAO;5061;13
MATO GROSSO;5061;17
MATO GROSSO DO SUL;5061;33
MINAS GERAIS;5061;118
PARA;5061;19
PARAIBA;5061;39
PARANA;5061;55
PERNAMBUCO;5061;25
PIAUI;5061;2
RIO DE JANEIRO;5061;25
RIO GRANDE DO NORTE;5061;10
RIO GRANDE DO SUL;5061;91
RONDONIA;5061;10
SANTA CATARINA;5061;63
SAO PAULO;5061;318
SERGIPE;5061;3
TOCANTINS;5061;3
CEARA;5070;2
DISTRITO FEDERAL;5070;1
ESPIRITO SANTO;5070;1
MINAS GERAIS;5070;5
PARAIBA;5070;2
PARANA;5070;6
PERNAMBUCO;5070;2
RIO DE JANEIRO;5070;3
RIO GRANDE DO SUL;5070;24
SANTA CATARINA;5070;9
SAO PAULO;5070;29
ALAGOAS;5088;1
BAHIA;5088;2
CEARA;5088;6
DISTRITO FEDERAL;5088;1
GOIAS;5088;1
MATO GROSSO DO SUL;5088;1
MINAS GERAIS;5088;9
PARAIBA;5088;2
PARANA;5088;4
PERNAMBUCO;5088;4
RIO GRANDE DO SUL;5088;9
SANTA CATARINA;5088;4
SAO PAULO;5088;17
ACRE;5096;2
AMAZONAS;5096;1
BAHIA;5096;10
CEARA;5096;30
DISTRITO FEDERAL;5096;4
ESPIRITO SANTO;5096;4
GOIAS;5096;2
MATO GROSSO;5096;3
MATO GROSSO DO SUL;5096;7
MINAS GERAIS;5096;16
PARA;5096;1
PARAIBA;5096;8
PARANA;5096;10
PERNAMBUCO;5096;4
PIAUI;5096;2
RIO DE JANEIRO;5096;1
