UF;Codigo da Infração;Quantidade
ACRE;5002;17
ALAGOAS;5002;14
AMAZONAS;5002;46
AMAPA;5002;7
BAHIA;5002;322
CEARA;5002;100
DISTRITO FEDERAL;5002;340
ESPIRITO SANTO;5002;397
GOIAS;5002;1567
MARANHAO;5002;69
MATO GROSSO;5002;821
MATO GROSSO DO SUL;5002;917
MINAS GERAIS;5002;12763
PARA;5002;157
PARAIBA;5002;15
PARANA;5002;4671
PERNAMBUCO;5002;147
PIAUI;5002;79
RIO DE JANEIRO;5002;5170
RIO GRANDE DO NORTE;5002;31
RIO GRANDE DO SUL;5002;1154
RONDONIA;5002;194
RORAIMA;5002;6
SANTA CATARINA;5002;2647
SAO PAULO;5002;128014
SERGIPE;5002;15
TOCANTINS;5002;139
ALAGOAS;5010;7
AMAZONAS;5010;2
BAHIA;5010;416
CEARA;5010;19
DISTRITO FEDERAL;5010;49
ESPIRITO SANTO;5010;45
GOIAS;5010;74
MARANHAO;5010;7
MATO GROSSO;5010;13
MATO GROSSO DO SUL;5010;5
MINAS GERAIS;5010;9130
PARA;5010;9
PARAIBA;5010;7
PARANA;5010;30
PERNAMBUCO;5010;21
PIAUI;5010;11
RIO DE JANEIRO;5010;56
RIO GRANDE DO NORTE;5010;9
RIO GRANDE DO SUL;5010;28
RONDONIA;5010;62
RORAIMA;5010;3
SANTA CATARINA;5010;5
SAO PAULO;5010;544
SERGIPE;5010;4
TOCANTINS;5010;25
BAHIA;5029;2
ESPIRITO SANTO;5029;3
MINAS GERAIS;5029;212
PARANA;5029;6
PERNAMBUCO;5029;1
RIO DE JANEIRO;5029;2
RIO GRANDE DO SUL;5029;6
SAO PAULO;5029;182
BAHIA;5037;12
GOIAS;5037;6
MATO GROSSO DO SUL;5037;3
MINAS GERAIS;5037;618
PARANA;5037;3
PERNAMBUCO;5037;2
PIAUI;5037;1
RIO DE JANEIRO;5037;5
RIO GRANDE DO NORTE;5037;1
RIO GRANDE DO SUL;5037;3
RONDONIA;5037;1
SANTA CATARINA;5037;1
SAO PAULO;5037;54
TOCANTINS;5037;4
ACRE;5045;4
BAHIA;5045;178
CEARA;5045;5
DISTRITO FEDERAL;5045;35
ESPIRITO SANTO;5045;4
GOIAS;5045;12
MARANHAO;5045;2
MATO GROSSO;5045;3
MATO GROSSO DO SUL;5045;8
MINAS GERAIS;5045;1136
PARA;5045;1
PARAIBA;5045;2
PARANA;5045;12
PERNAMBUCO;5045;1
PIAUI;5045;2
RIO DE JANEIRO;5045;9
RIO GRANDE DO NORTE;5045;1
RIO GRANDE DO SUL;5045;6
RONDONIA;5045;11
SANTA CATARINA;5045;6
SAO PAULO;5045;301
SERGIPE;5045;2
TOCANTINS;5045;9
ALAGOAS;5053;1
AMAZONAS;5053;1
BAHIA;5053;138
DISTRITO FEDERAL;5053;6
ESPIRITO SANTO;5053;3
GOIAS;5053;1
MARANHAO;5053;1
MATO GROSSO DO SUL;5053;2
MINAS GERAIS;5053;23
PARANA;5053;3
PERNAMBUCO;5053;2
PIAUI;5053;1
RIO DE JANEIRO;5053;5
RIO GRANDE DO SUL;5053;1
SANTA CATARINA;5053;2
SAO PAULO;5053;36
SERGIPE;5053;4
ALAGOAS;5061;1
BAHIA;5061;14
DISTRITO FEDERAL;5061;3
ESPIRITO SANTO;5061;1
GOIAS;5061;2
MARANHAO;5061;1
MATO GROSSO;5061;1
MATO GROSSO DO SUL;5061;1
MINAS GERAIS;5061;103
PARANA;5061;2
PERNAMBUCO;5061;1
RIO DE JANEIRO;5061;1
RONDONIA;5061;3
SANTA CATARINA;5061;1
SAO PAULO;5061;19
MINAS GERAIS;5070;1
RIO GRANDE DO SUL;5070;1
SAO PAULO;5070;5
MINAS GERAIS;5088;6
RIO DE JANEIRO;5088;1
SAO PAULO;5088;1
BAHIA;5096;4
CEARA;5096;1
GOIAS;5096;1
MARANHAO;5096;1
MINAS GERAIS;5096;10
PARANA;5096;2
RIO GRANDE DO SUL;5096;3
SAO PAULO;5096;11
TOCANTINS;5096;1
SAO PAULO;5100;1
ALAGOAS;5118;1
BAHIA;5118;6
CEARA;5118;7
DISTRITO FEDERAL;5118;1
ESPIRITO SANTO;5118;2
GOIAS;5118;3
MATO GROSSO;5118;3
MATO GROSSO DO SUL;5118;1
MINAS GERAIS;5118;765
PARA;5118;1
PARANA;5118;12
PIAUI;5118;2
RIO DE JANEIRO;5118;7
RIO GRANDE DO NORTE;5118;3
RIO GRANDE DO SUL;5118;7
RONDONIA;5118;23
RORAIMA;5118;1
SANTA CATARINA;5118;1
SAO PAULO;5118;170
SERGIPE;5118;1
TOCANTINS;5118;1
ESPIRITO SANTO;5126;1
MINAS GERAIS;5126;21
PARANA;5126;1
SAO PAULO;5126;54
MINAS GERAIS;5134;56
PIAUI;5134;1
RIO DE JANEIRO;5134;1
SAO PAULO;5134;20
BAHIA;5142;3
CEARA;5142;3
DISTRITO FEDERAL;5142;1
GOIAS;5142;2
MATO GROSSO DO SUL;5142;2
MINAS GERAIS;5142;98
PARANA;5142;10
RIO DE JANEIRO;5142;2
RONDONIA;5142;2
SAO PAULO;5142;96
MINAS GERAIS;5150;2
RIO GRANDE DO SUL;5150;1
SANTA CATARINA;5150;1
SAO PAULO;5150;7
BAHIA;5169;45
CEARA;5169;3
DISTRITO FEDERAL;5169;21
ESPIRITO SANTO;5169;7
GOIAS;5169;6
MATO GROSSO;5169;1
MATO GROSSO DO SUL;5169;8
MINAS GERAIS;5169;782
PARAIBA;5169;1
PARANA;5169;15
PERNAMBUCO;5169;3
PIAUI;5169;1
RIO DE JANEIRO;5169;8
RIO GRANDE DO NORTE;5169;1
RIO GRANDE DO SUL;5169;5
RONDONIA;5169;40
SANTA CATARINA;5169;4
SAO PAULO;5169;211
TOCANTINS;5169;3
MINAS GERAIS;5177;3
PARANA;5177;1
PIAUI;5177;1
SAO PAULO;5177;6
TOCANTINS;5177;1
ACRE;5185;6
ALAGOAS;5185;12
AMAZONAS;5185;8
AMAPA;5185;5
BAHIA;5185;942
CEARA;5185;47
DISTRITO FEDERAL;5185;180
ESPIRITO SANTO;5185;59
GOIAS;5185;134
MARANHAO;5185;12
MATO GROSSO;5185;37
MATO GROSSO DO SUL;5185;89
MINAS GERAIS;5185;3851
PARA;5185;16
PARAIBA;5185;431
PARANA;5185;357
PERNAMBUCO;5185;92
PIAUI;5185;85
RIO DE JANEIRO;5185;1640
RIO GRANDE DO NORTE;5185;557
RIO GRANDE DO SUL;5185;117
RONDONIA;5185;1051
RORAIMA;5185;9
SANTA CATARINA;5185;137
SAO PAULO;5185;18696
SERGIPE;5185;78
TOCANTINS;5185;617
ACRE;5193;1
ALAGOAS;5193;2
AMAPA;5193;1
BAHIA;5193;109
CEARA;5193;3
DISTRITO FEDERAL;5193;11
ESPIRITO SANTO;5193;11
GOIAS;5193;10
MARANHAO;5193;1
MATO GROSSO;5193;1
MATO GROSSO DO SUL;5193;6
MINAS GERAIS;5193;354
PARAIBA;5193;21
PARANA;5193;15
PERNAMBUCO;5193;4
PIAUI;5193;6
RIO DE JANEIRO;5193;24
RIO GRANDE DO NORTE;5193;20
RIO GRANDE DO SUL;5193;10
RONDONIA;5193;30
RORAIMA;5193;2
SANTA CATARINA;5193;4
SAO PAULO;5193;747
SERGIPE;5193;24
TOCANTINS;5193;33
AMAZONAS;5207;1
BAHIA;5207;127
CEARA;5207;6
DISTRITO FEDERAL;5207;55
ESPIRITO SANTO;5207;6
GOIAS;5207;28
MARANHAO;5207;1
MATO GROSSO;5207;4
MATO GROSSO DO SUL;5207;3
MINAS GERAIS;5207;1024
PARA;5207;1
PARAIBA;5207;9
PARANA;5207;21
PERNAMBUCO;5207;4
PIAUI;5207;11
RIO DE JANEIRO;5207;46
RIO GRANDE DO NORTE;5207;51
RIO GRANDE DO SUL;5207;7
RONDONIA;5207;26
RORAIMA;5207;1
SANTA CATARINA;5207;14
SAO PAULO;5207;4490
SERGIPE;5207;1
TOCANTINS;5207;13
BAHIA;5215;4
CEARA;5215;3
DISTRITO FEDERAL;5215;2
GOIAS;5215;2
MARANHAO;5215;1
MINAS GERAIS;5215;268
PARAIBA;5215;4
PARANA;5215;4
PERNAMBUCO;5215;1
PIAUI;5215;2
RIO DE JANEIRO;5215;56
RIO GRANDE DO NORTE;5215;1
RONDONIA;5215;4
SANTA CATARINA;5215;1
SAO PAULO;5215;221
SERGIPE;5215;4
TOCANTINS;5215;9
CEARA;5223;1
MINAS GERAIS;5223;4
RIO DE JANEIRO;5223;3
SANTA CATARINA;5223;1
SAO PAULO;5223;8
ACRE;5231;1
BAHIA;5231;1
DISTRITO FEDERAL;5231;2
MINAS GERAIS;5231;23
PARAIBA;5231;1
PARANA;5231;2
RIO DE JANEIRO;5231;5
RIO GRANDE DO NORTE;5231;2
RIO GRANDE DO SUL;5231;1
RONDONIA;5231;1
SANTA CATARINA;5231;1
SAO PAULO;5231;173
MINAS GERAIS;5240;7
RIO DE JANEIRO;5240;2
SAO PAULO;5240;11
GOIAS;5258;1
MINAS GERAIS;5258;25
SAO PAULO;5258;87
BAHIA;5266;1
MINAS GERAIS;5266;4
RONDONIA;5266;2
SAO PAULO;5266;45
BAHIA;5274;7
CEARA;5274;6
DISTRITO FEDERAL;5274;2
ESPIRITO SANTO;5274;2
GOIAS;5274;2
MATO GROSSO;5274;1
MINAS GERAIS;5274;414
PARANA;5274;2
PERNAMBUCO;5274;2
RIO DE JANEIRO;5274;2
RIO GRANDE DO NORTE;5274;1
RONDONIA;5274;5
RORAIMA;5274;1
SAO PAULO;5274;50
TOCANTINS;5274;1
MINAS GERAIS;5282;30
SAO PAULO;5282;6
SERGIPE;5282;1
MINAS GERAIS;5290;7
SAO PAULO;5290;1
MINAS GERAIS;5304;8
BAHIA;5320;2
MINAS GERAIS;5320;8
RIO GRANDE DO SUL;5320;1
SAO PAULO;5320;2
TOCANTINS;5320;1
BAHIA;5347;2
CEARA;5347;1
MINAS GERAIS;5347;10
SAO PAULO;5347;4
TOCANTINS;5347;2
RIO DE JANEIRO;5355;1
SAO PAULO;5363;2
CEARA;5371;1
MINAS GERAIS;5371;8
PARANA;5371;3
RIO DE JANEIRO;5371;1
RIO GRANDE DO SUL;5371;2
RONDONIA;5371;1
SAO PAULO;5371;71
TOCANTINS;5371;1
ALAGOAS;5380;2
BAHIA;5380;51
CEARA;5380;59
DISTRITO FEDERAL;5380;12
ESPIRITO SANTO;5380;4
GOIAS;5380;9
MATO GROSSO;5380;6
MATO GROSSO DO SUL;5380;4
MINAS GERAIS;5380;288
PARAIBA;5380;31
PARANA;5380;14
PERNAMBUCO;5380;12
PIAUI;5380;8
RIO DE JANEIRO;5380;370
RIO GRANDE DO NORTE;5380;200
RIO GRANDE DO SUL;5380;3
RONDONIA;5380;487
SANTA CATARINA;5380;10
SAO PAULO;5380;1813
SERGIPE;5380;23
TOCANTINS;5380;2
BAHIA;5398;3
CEARA;5398;3
DISTRITO FEDERAL;5398;1
GOIAS;5398;2
MINAS GERAIS;5398;41
PARAIBA;5398;3
PARANA;5398;1
PERNAMBUCO;5398;1
RIO DE JANEIRO;5398;11
RIO GRANDE DO NORTE;5398;1
RIO GRANDE DO SUL;5398;1
RONDONIA;5398;5
SAO PAULO;5398;75
SERGIPE;5398;1
TOCANTINS;5398;3
BAHIA;5401;46
DISTRITO FEDERAL;5401;3
ESPIRITO SANTO;5401;2
GOIAS;5401;1
MARANHAO;5401;1
MATO GROSSO;5401;1
MINAS GERAIS;5401;180
PARAIBA;5401;26
PERNAMBUCO;5401;6
PIAUI;5401;4
RIO DE JANEIRO;5401;3
RIO GRANDE DO NORTE;5401;138
RIO GRANDE DO SUL;5401;4
RONDONIA;5401;27
SANTA CATARINA;5401;1
SAO PAULO;5401;133
SERGIPE;5401;20
TOCANTINS;5401;7
BAHIA;5410;15
CEARA;5410;1
DISTRITO FEDERAL;5410;7
ESPIRITO SANTO;5410;5
GOIAS;5410;1
MATO GROSSO;5410;2
MINAS GERAIS;5410;159
PARAIBA;5410;10
PARANA;5410;3
PERNAMBUCO;5410;2
PIAUI;5410;11
RIO DE JANEIRO;5410;318
RIO GRANDE DO NORTE;5410;128
RONDONIA;5410;59
SANTA CATARINA;5410;5
SAO PAULO;5410;165
SERGIPE;5410;3
TOCANTINS;5410;24
ALAGOAS;5428;1
BAHIA;5428;42
DISTRITO FEDERAL;5428;12
ESPIRITO SANTO;5428;10
GOIAS;5428;16
MATO GROSSO;5428;14
MATO GROSSO DO SUL;5428;7
MINAS GERAIS;5428;47
PARA;5428;2
PARAIBA;5428;1
PARANA;5428;27
PERNAMBUCO;5428;13
RIO DE JANEIRO;5428;89
RIO GRANDE DO NORTE;5428;1
RIO GRANDE DO SUL;5428;6
RONDONIA;5428;2
SANTA CATARINA;5428;14
SAO PAULO;5428;113
TOCANTINS;5428;2
MINAS GERAIS;5436;2
PARA;5436;1
RIO DE JANEIRO;5436;2
SAO PAULO;5436;6
TOCANTINS;5436;1
ACRE;5444;1
ALAGOAS;5444;1
BAHIA;5444;87
CEARA;5444;3
DISTRITO FEDERAL;5444;9
ESPIRITO SANTO;5444;4
GOIAS;5444;4
MATO GROSSO;5444;2
MINAS GERAIS;5444;65
PARA;5444;3
PARANA;5444;9
PERNAMBUCO;5444;4
PIAUI;5444;4
RIO DE JANEIRO;5444;138
RIO GRANDE DO NORTE;5444;3
RIO GRANDE DO SUL;5444;5
SANTA CATARINA;5444;7
SAO PAULO;5444;158
SERGIPE;5444;2
ALAGOAS;5452;4
AMAZONAS;5452;3
AMAPA;5452;1
BAHIA;5452;141
CEARA;5452;115
DISTRITO FEDERAL;5452;40
ESPIRITO SANTO;5452;35
GOIAS;5452;40
MARANHAO;5452;16
MATO GROSSO;5452;10
MATO GROSSO DO SUL;5452;27
MINAS GERAIS;5452;1477
PARA;5452;16
PARAIBA;5452;257
PARANA;5452;95
PERNAMBUCO;5452;51
PIAUI;5452;36
RIO DE JANEIRO;5452;5137
RIO GRANDE DO NORTE;5452;940
RIO GRANDE DO SUL;5452;28
RONDONIA;5452;112
RORAIMA;5452;4
SANTA CATARINA;5452;32
SAO PAULO;5452;8523
SERGIPE;5452;76
TOCANTINS;5452;113
ACRE;5460;1
BAHIA;5460;17
CEARA;5460;18
DISTRITO FEDERAL;5460;5
ESPIRITO SANTO;5460;4
GOIAS;5460;4
MARANHAO;5460;1
MATO GROSSO;5460;2
MATO GROSSO DO SUL;5460;1
MINAS GERAIS;5460;232
PARAIBA;5460;18
PARANA;5460;19
PERNAMBUCO;5460;4
PIAUI;5460;5
RIO DE JANEIRO;5460;117
RIO GRANDE DO NORTE;5460;139
RIO GRANDE DO SUL;5460;7
RONDONIA;5460;29
RORAIMA;5460;1
SANTA CATARINA;5460;4
SAO PAULO;5460;1405
SERGIPE;5460;8
TOCANTINS;5460;14
ALAGOAS;5479;4
BAHIA;5479;23
CEARA;5479;33
DISTRITO FEDERAL;5479;6
ESPIRITO SANTO;5479;9
GOIAS;5479;2
MARANHAO;5479;1
MATO GROSSO;5479;1
MINAS GERAIS;5479;109
PARAIBA;5479;48
PARANA;5479;8
PERNAMBUCO;5479;7
PIAUI;5479;56
RIO DE JANEIRO;5479;313
RIO GRANDE DO NORTE;5479;228
RIO GRANDE DO SUL;5479;2
RONDONIA;5479;17
SANTA CATARINA;5479;3
SAO PAULO;5479;88
SERGIPE;5479;31
TOCANTINS;5479;13
ALAGOAS;5487;3
AMAZONAS;5487;1
AMAPA;5487;1
BAHIA;5487;80
CEARA;5487;47
DISTRITO FEDERAL;5487;20
ESPIRITO SANTO;5487;6
GOIAS;5487;7
MARANHAO;5487;2
MATO GROSSO;5487;1
MATO GROSSO DO SUL;5487;3
