UF;Codigo_Infracao;Quantidade
ACRE;5010;133
ACRE;5029;1
ACRE;5037;9
ACRE;5045;79
ACRE;5053;9
ACRE;5061;6
ACRE;5096;1
ACRE;5118;48
ACRE;5134;2
ACRE;5142;2
ACRE;5169;128
ACRE;5177;2
ACRE;5185;173
ACRE;5193;34
ACRE;5207;39
ACRE;5215;19
ACRE;5231;3
ACRE;5274;23
ACRE;5282;3
ACRE;5290;1
ACRE;5320;1
ACRE;5371;1
ACRE;5380;5
ACRE;5410;1
ACRE;5428;19
ACRE;5444;12
ACRE;5452;183
ACRE;5460;18
ACRE;5479;15
ACRE;5487;23
ACRE;5495;3
ACRE;5509;146
ACRE;5525;2
ACRE;5541;825
ACRE;5550;212
ACRE;5568;14
ACRE;5614;4
ACRE;5622;15
ACRE;5657;1
ACRE;5673;1
ACRE;5681;4
ACRE;5711;2
ACRE;5720;12
ACRE;5738;38
ACRE;5746;1
ACRE;5770;2
ACRE;5797;6
ACRE;5819;91
ACRE;5827;1
ACRE;5835;47
ACRE;5908;3
ACRE;5924;2
ACRE;5940;4
ACRE;5959;14
ACRE;5967;112
ACRE;5975;2
ACRE;5991;6
ACRE;6009;1
ACRE;6017;14
ACRE;6041;65
ACRE;6050;405
ACRE;6068;22
ACRE;6076;2
ACRE;6084;1
ACRE;6122;10
ACRE;6270;3
ACRE;6408;10
ACRE;6432;2
ACRE;6483;1
ACRE;6530;2
ACRE;6548;1
ACRE;6556;7
ACRE;6564;14
ACRE;6580;7
ACRE;6599;278
ACRE;6602;17
ACRE;6610;6
ACRE;6629;1
ACRE;6637;54
ACRE;6645;48
ACRE;6653;17
ACRE;6661;5
ACRE;6670;34
ACRE;6688;4
ACRE;6700;48
ACRE;6726;62
ACRE;6750;4
ACRE;6769;32
ACRE;6785;1
ACRE;6823;8
ACRE;6840;5
ACRE;6858;29
ACRE;6866;1
ACRE;6904;2
ACRE;6912;24
ACRE;6920;1
ACRE;6947;3
ACRE;6963;4
ACRE;6971;5
ACRE;6980;1
ACRE;7030;15
ACRE;7048;5
ACRE;7056;3
ACRE;7064;1
ACRE;7099;2
ACRE;7102;1
ACRE;7234;2
ACRE;7242;55
ACRE;7277;1
ACRE;7323;1
ACRE;7340;84
ACRE;7358;1
ACRE;7366;59
ACRE;7455;958
ACRE;7463;341
ACRE;7471;46
ACRE;7560;18
ACRE;7579;19
ACRE;7587;15
ACRE;7625;87
ACRE;7633;423
ALAGOAS;5002;19
ALAGOAS;5010;1175
ALAGOAS;5029;11
ALAGOAS;5037;57
ALAGOAS;5045;143
ALAGOAS;5053;34
ALAGOAS;5061;39
ALAGOAS;5100;1
ALAGOAS;5118;258
ALAGOAS;5126;2
ALAGOAS;5134;4
ALAGOAS;5142;12
ALAGOAS;5150;2
ALAGOAS;5169;86
ALAGOAS;5177;1
ALAGOAS;5185;347
ALAGOAS;5193;87
ALAGOAS;5207;88
ALAGOAS;5215;3
ALAGOAS;5231;3
ALAGOAS;5274;25
ALAGOAS;5282;3
ALAGOAS;5290;1
ALAGOAS;5304;1
ALAGOAS;5320;1
ALAGOAS;5380;67
ALAGOAS;5398;1
ALAGOAS;5401;5
ALAGOAS;5410;4
ALAGOAS;5428;11
ALAGOAS;5444;38
ALAGOAS;5452;58
ALAGOAS;5460;7
ALAGOAS;5479;6
ALAGOAS;5487;8
ALAGOAS;5509;3
ALAGOAS;5525;6
ALAGOAS;5541;89
ALAGOAS;5550;64
ALAGOAS;5568;15
ALAGOAS;5584;2
ALAGOAS;5592;1
ALAGOAS;5606;1
ALAGOAS;5614;7
ALAGOAS;5622;6
ALAGOAS;5657;2
ALAGOAS;5665;2
ALAGOAS;5673;1
ALAGOAS;5681;3
ALAGOAS;5703;3
ALAGOAS;5711;5
ALAGOAS;5720;21
ALAGOAS;5738;63
ALAGOAS;5746;4
ALAGOAS;5770;4
ALAGOAS;5789;1
ALAGOAS;5797;13
ALAGOAS;5800;3
ALAGOAS;5819;59
ALAGOAS;5827;1
ALAGOAS;5835;145
ALAGOAS;5843;3
ALAGOAS;5851;1
ALAGOAS;5860;6
ALAGOAS;5878;2
ALAGOAS;5908;14
ALAGOAS;5924;1
ALAGOAS;5940;5
ALAGOAS;5959;6
ALAGOAS;5967;409
ALAGOAS;5975;35
ALAGOAS;5991;19
ALAGOAS;6009;1
ALAGOAS;6017;16
ALAGOAS;6025;1
ALAGOAS;6041;38
ALAGOAS;6050;33
ALAGOAS;6068;12
ALAGOAS;6076;13
ALAGOAS;6122;2
ALAGOAS;6130;1
ALAGOAS;6173;4
ALAGOAS;6181;1
ALAGOAS;6270;8
ALAGOAS;6394;1
ALAGOAS;6408;24
ALAGOAS;6432;1
ALAGOAS;6459;1
ALAGOAS;6530;11
ALAGOAS;6556;49
ALAGOAS;6564;45
ALAGOAS;6580;23
ALAGOAS;6599;900
ALAGOAS;6602;45
ALAGOAS;6610;83
ALAGOAS;6629;8
ALAGOAS;6637;340
ALAGOAS;6645;234
ALAGOAS;6653;26
ALAGOAS;6661;38
ALAGOAS;6670;197
ALAGOAS;6688;17
ALAGOAS;6696;1
ALAGOAS;6700;224
ALAGOAS;6718;1
ALAGOAS;6726;287
ALAGOAS;6742;1
ALAGOAS;6750;12
ALAGOAS;6769;312
ALAGOAS;6785;9
ALAGOAS;6807;1
ALAGOAS;6823;7
ALAGOAS;6831;1
ALAGOAS;6840;7
ALAGOAS;6858;100
ALAGOAS;6866;4
ALAGOAS;6904;4
ALAGOAS;6912;97
ALAGOAS;6920;1160
ALAGOAS;6947;30
ALAGOAS;6963;6
ALAGOAS;6971;1
ALAGOAS;6980;1
ALAGOAS;7030;524
ALAGOAS;7048;260
ALAGOAS;7056;2
ALAGOAS;7064;12
ALAGOAS;7072;5
ALAGOAS;7099;2
ALAGOAS;7102;1
ALAGOAS;7137;1
ALAGOAS;7218;11
ALAGOAS;7234;3
ALAGOAS;7242;985
ALAGOAS;7285;2
ALAGOAS;7323;1
ALAGOAS;7340;254
ALAGOAS;7358;5
ALAGOAS;7366;64
ALAGOAS;7455;4826
ALAGOAS;7463;1521
ALAGOAS;7471;167
ALAGOAS;7552;1
ALAGOAS;7560;38
ALAGOAS;7579;151
ALAGOAS;7587;9
ALAGOAS;7625;22
ALAGOAS;7633;157
AMAPA;5010;136
AMAPA;5037;9
AMAPA;5045;66
AMAPA;5053;1
AMAPA;5061;2
AMAPA;5096;3
AMAPA;5118;92
AMAPA;5134;8
AMAPA;5142;26
AMAPA;5150;1
AMAPA;5169;32
AMAPA;5177;1
AMAPA;5185;144
AMAPA;5193;34
AMAPA;5207;4
AMAPA;5347;1
