 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";758673;760689;1098949925,33;971861340,06;127067716,37;1444,68;1448,52;5459541;7,2;93336;12,30
".. Cólera";606;606;605724,53;493038,89;110785,72;999,55;999,55;2711;4,5;24;3,96
".. Febres tifóide e paratifóide";287;287;175392,95;151111,27;24281,68;611,13;611,13;1312;4,6;4;1,39
".. Shiguelose";140;140;59020,62;51436,02;7584,60;421,58;421,58;417;3,0;-;-
".. Amebíase";814;814;331400,03;290559,81;40398,99;407,13;407,13;3094;3,8;23;2,83
".. Diarréia e gastroenterite origem infecc presum";113882;113882;43273201,94;38263904,41;5008635,28;379,98;379,98;370791;3,3;1194;1,05
".. Outras doenças infecciosas intestinais";87258;87261;33828083,54;29876523,44;3950705,87;387,67;387,68;265946;3,0;705;0,81
".. Tuberculose respiratória";11494;12924;18161191,13;14227781,36;3933186,09;1405,23;1580,06;163255;14,2;992;8,63
".... Tuberculose pulmonar";8376;9782;13411911,24;10442144,97;2969542,59;1371,08;1601,23;131358;15,7;635;7,58
".... Outras tuberculoses respiratórias";3035;3059;4708013,94;3751773,72;956240,22;1539,07;1551,24;31251;10,3;347;11,43
".... Restante de tuberculose respiratória";83;83;41265,95;33862,67;7403,28;497,18;497,18;646;7,8;10;12,05
".. Outras tuberculoses";1381;1418;2241669,99;1852377,10;389292,89;1580,87;1623,22;16973;12,3;139;10,07
".... Tuberculose do sistema nervoso";277;292;529800,59;434327,65;95472,94;1814,39;1912,64;3937;14,2;38;13,72
".... Tuberc intest peritônio glângl mesentéricos";79;80;124952,68;104204,39;20748,29;1561,91;1581,68;1109;14,0;2;2,53
".... Tuberculose óssea e das articulações";81;85;142354,66;114616,64;27738,02;1674,76;1757,46;1150;14,2;1;1,23
".... Tuberculose do aparelho geniturinário";19;19;40964,82;34996,78;5968,04;2156,04;2156,04;373;19,6;-;-
".... Tuberculose miliar";557;562;825322,81;685351,49;139971,32;1468,55;1481,73;5751;10,3;70;12,57
".... Restante de outras tuberculoses";368;380;578274,43;478880,15;99394,28;1521,77;1571,40;4653;12,6;28;7,61
".. Peste";22;22;12995,95;11362,45;1633,50;590,73;590,73;114;5,2;3;13,64
".. Brucelose";21;21;16323,43;14736,03;1587,40;777,31;777,31;162;7,7;-;-
".. Hanseníase [lepra]";2043;2077;1551812,94;1241903,61;309909,33;747,14;759,58;17121;8,4;44;2,15
".. Tétano neonatal";3;3;2030,50;1855,38;175,12;676,83;676,83;14;4,7;-;-
".. Outros tétanos";176;176;1149711,84;1014225,75;135486,09;6532,45;6532,45;2812;16,0;30;17,05
".. Difteria";73;73;150218,25;134593,39;15624,86;2057,78;2057,78;506;6,9;8;10,96
".. Coqueluche";1131;1131;1429522,81;1294711,36;134811,45;1263,95;1263,95;6837;6,0;3;0,27
".. Infecção meningocócica";968;968;2014267,13;1805527,34;208739,79;2080,85;2080,85;8713;9,0;107;11,05
