 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Mar/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";65706;65851;90634939,09;80124880,01;10508973,13;1376,36;1379,40;464786;7,1;7405;11,27
".. Cólera";54;54;29658,75;24727,81;4930,94;549,24;549,24;257;4,8;-;-
".. Febres tifóide e paratifóide";20;20;14406,55;12668,49;1738,06;720,33;720,33;122;6,1;1;5,00
".. Shiguelose";8;8;2976,78;2399,04;577,74;372,10;372,10;17;2,1;-;-
".. Amebíase";70;70;34896,62;30428,03;4468,59;498,52;498,52;305;4,4;5;7,14
".. Diarréia e gastroenterite origem infecc presum";10680;10680;4062606,19;3587193,67;475340,47;380,39;380,39;34777;3,3;102;0,96
".. Outras doenças infecciosas intestinais";7852;7852;3082841,78;2721858,28;360971,94;392,62;392,62;24161;3,1;59;0,75
".. Tuberculose respiratória";891;999;1361305,60;1065599,42;295706,18;1362,67;1527,84;12368;13,9;78;8,75
".... Tuberculose pulmonar";650;757;974818,91;756131,23;218687,68;1287,74;1499,72;9848;15,2;46;7,08
".... Outras tuberculoses respiratórias";241;242;386486,69;309468,19;77018,50;1597,05;1603,68;2520;10,5;32;13,28
".. Outras tuberculoses";99;100;141423,11;115146,92;26276,19;1414,23;1428,52;1181;11,9;9;9,09
".... Tuberculose do sistema nervoso";17;18;35880,04;28701,73;7178,31;1993,34;2110,59;263;15,5;3;17,65
".... Tuberc intest peritônio glângl mesentéricos";6;6;8173,72;7009,85;1163,87;1362,29;1362,29;91;15,2;-;-
".... Tuberculose óssea e das articulações";10;10;11291,49;9275,19;2016,30;1129,15;1129,15;110;11,0;-;-
".... Tuberculose miliar";37;37;57775,21;47804,35;9970,86;1561,49;1561,49;435;11,8;1;2,70
".... Restante de outras tuberculoses";29;29;28302,65;22355,80;5946,85;975,95;975,95;282;9,7;5;17,24
".. Peste";1;1;2628,32;2278,44;349,88;2628,32;2628,32;5;5,0;-;-
".. Brucelose";1;1;516,34;462,87;53,47;516,34;516,34;4;4,0;-;-
".. Hanseníase [lepra]";196;198;174502,52;139070,56;35431,96;881,33;890,32;1813;9,3;6;3,06
".. Outros tétanos";12;12;89728,39;79632,31;10096,08;7477,37;7477,37;145;12,1;1;8,33
".. Difteria";7;7;16405,12;14665,71;1739,41;2343,59;2343,59;39;5,6;1;14,29
".. Coqueluche";106;106;125239,89;113552,48;11687,41;1181,51;1181,51;674;6,4;-;-
".. Infecção meningocócica";83;83;148852,71;134014,94;14837,77;1793,41;1793,41;598;7,2;8;9,64
".. Septicemia";10723;10723;39301439,23;34898039,83;4402673,01;3665,15;3665,15;123476;11,5;4770;44,48
".. Outras doenças bacterianas";20317;20318;31422702,04;28187744,41;3234845,78;1546,55;1546,62;160400;7,9;1912;9,41
".... Leptospirose icterohemorrágica";18;18;29522,71;26472,95;3049,76;1640,15;1640,15;140;7,8;1;5,56
".... Outras formas de leptospirose";20;20;27948,26;25292,61;2655,65;1397,41;1397,41;145;7,3;-;-
".... Leptospirose não especificada";263;263;287130,05;253293,19;33836,86;1091,75;1091,75;1652;6,3;16;6,08
".... Restante de outras doenças bacterianas";20016;20017;31078101,02;27882685,66;3195303,51;1552,59;1552,66;158463;7,9;1895;9,47
".. Sífilis congênita";1619;1619;1140767,77;798836,40;341931,37;704,61;704,61;14886;9,2;3;0,19
".. Sífilis precoce";28;28;15783,56;13817,47;1966,09;563,70;563,70;246;8,8;-;-
".. Outras sífilis";142;142;100470,58;81322,73;19147,85;707,54;707,54;1505;10,6;3;2,11
".. Infecção gonocócica";8;8;13899,52;12231,62;1667,90;1737,44;1737,44;51;6,4;-;-
".. Doenças por clamídias transmitidas via sexual";1;1;542,45;501,71;40,74;542,45;542,45;4;4,0;-;-
".. Outras infecções com transm predominant sexual";78;78;27171,23;22663,95;4507,28;348,35;348,35;442;5,7;2;2,56
".. Febres recorrentes";86;86;27843,05;23987,37;3855,68;323,76;323,76;396;4,6;1;1,16
