 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Mai/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";71986;72149;97339787,84;85879305,36;11459426,11;1349,15;1352,20;494309;6,9;8055;11,19
".. Cólera";74;74;92284,88;73328,53;18920,55;1247,09;1247,09;319;4,3;3;4,05
".. Febres tifóide e paratifóide";30;30;13008,24;10965,31;2042,93;433,61;433,61;142;4,7;-;-
".. Shiguelose";16;16;5313,06;4688,54;624,52;332,07;332,07;50;3,1;-;-
".. Amebíase";63;63;23927,37;21284,82;2642,55;379,80;379,80;227;3,6;2;3,17
".. Diarréia e gastroenterite origem infecc presum";9080;9080;3578820,01;3163152,69;415667,32;394,14;394,14;30279;3,3;100;1,10
".. Outras doenças infecciosas intestinais";7194;7194;2844628,32;2511083,36;333544,96;395,42;395,42;22367;3,1;52;0,72
".. Tuberculose respiratória";935;1049;1376533,41;1072747,01;303786,40;1312,23;1472,23;13290;14,2;69;7,38
".... Tuberculose pulmonar";713;826;1081104,74;841892,24;239212,50;1308,84;1516,28;10950;15,4;44;6,17
".... Outras tuberculoses respiratórias";216;217;294400,84;229993,44;64407,40;1356,69;1362,97;2298;10,6;23;10,65
".... Restante de tuberculose respiratória";6;6;1027,83;861,33;166,50;171,30;171,30;42;7,0;2;33,33
".. Outras tuberculoses";115;118;155677,54;129160,10;26517,44;1319,30;1353,72;1331;11,6;9;7,83
".... Tuberculose do sistema nervoso";19;21;35026,99;29464,90;5562,09;1667,95;1843,53;258;13,6;3;15,79
".... Tuberc intest peritônio glângl mesentéricos";2;2;2104,52;1792,18;312,34;1052,26;1052,26;50;25,0;-;-
".... Tuberculose óssea e das articulações";6;6;2083,63;1670,63;413,00;347,27;347,27;47;7,8;-;-
".... Tuberculose do aparelho geniturinário";2;2;1923,59;1789,73;133,86;961,80;961,80;43;21,5;-;-
".... Tuberculose miliar";59;59;63178,90;51144,72;12034,18;1070,83;1070,83;588;10,0;5;8,47
".... Restante de outras tuberculoses";27;28;51359,91;43297,94;8061,97;1834,28;1902,22;345;12,8;1;3,70
".. Peste";3;3;1632,03;1514,21;117,82;544,01;544,01;11;3,7;-;-
".. Brucelose";2;2;420,93;360,24;60,69;210,47;210,47;7;3,5;-;-
".. Hanseníase [lepra]";181;184;124922,70;99217,03;25705,67;678,93;690,18;1508;8,3;1;0,55
".. Outros tétanos";16;16;102422,63;90621,80;11800,83;6401,41;6401,41;270;16,9;2;12,50
".. Difteria";4;4;8488,92;7625,59;863,33;2122,23;2122,23;26;6,5;-;-
".. Coqueluche";116;116;132192,43;120567,44;11624,99;1139,59;1139,59;688;5,9;-;-
".. Infecção meningocócica";73;73;144776,18;130260,77;14515,41;1983,24;1983,24;635;8,7;7;9,59
".. Septicemia";11853;11853;42669291,63;37866823,84;4801555,07;3599,87;3599,87;134047;11,3;5273;44,49
".. Outras doenças bacterianas";20303;20304;32390496,43;29028778,35;3361682,28;1595,28;1595,36;162918;8,0;2011;9,90
".... Leptospirose icterohemorrágica";21;21;71106,95;63160,96;7945,99;3386,05;3386,05;254;12,1;4;19,05
".... Outras formas de leptospirose";19;19;54083,55;48900,13;5183,42;2846,50;2846,50;211;11,1;1;5,26
".... Leptospirose não especificada";226;226;262321,40;231993,68;30327,72;1160,71;1160,71;1686;7,5;15;6,64
".... Restante de outras doenças bacterianas";20037;20038;32002984,53;28684723,58;3318225,15;1597,11;1597,19;160767;8,0;1991;9,94
".. Sífilis congênita";1629;1629;1187234,43;842155,49;345078,94;728,81;728,81;14709;9,0;1;0,06
".. Sífilis precoce";32;32;23018,28;18058,93;4959,35;719,32;719,32;299;9,3;-;-
".. Outras sífilis";115;115;70145,81;56096,61;14049,20;609,96;609,96;1177;10,2;3;2,61
".. Infecção gonocócica";11;11;4050,00;3508,74;541,26;368,18;368,18;51;4,6;-;-
".. Doenças por clamídias transmitidas via sexual";4;4;1604,33;1410,31;194,02;401,08;401,08;24;6,0;-;-
".. Outras infecções com transm predominant sexual";86;86;34776,51;28053,71;6722,80;404,38;404,38;529;6,2;1;1,16
".. Febres recorrentes";113;113;42855,67;36285,02;6570,65;379,25;379,25;491;4,3;1;0,88
".. Raiva";4;4;17551,76;15254,45;2297,31;4387,94;4387,94;68;17,0;-;-
".. Encefalite viral";246;246;413373,82;372491,79;40882,03;1680,38;1680,38;2277;9,3;13;5,28
".. Febre amarela";6;6;68960,25;62639,63;6320,62;11493,38;11493,38;91;15,2;2;33,33
".. Outras febre p/arbovírus e febr hemorr p/vírus";11916;11916;4288734,38;3527892,62;760841,76;359,91;359,91;37231;3,1;79;0,66
".... Dengue [dengue clásssico]";10511;10511;3729929,81;3057289,02;672640,79;354,86;354,86;32346;3,1;43;0,41
".... Febre hemorrágica devida ao vírus da dengue";953;953;451291,53;381210,54;70080,99;473,55;473,55;3425;3,6;35;3,67
".... Restante outr febr arbovírus febr hemor vírus";452;452;107513,04;89393,06;18119,98;237,86;237,86;1460;3,2;1;0,22
".. Infecções pelo vírus do herpes";97;97;59334,65;49296,57;10038,08;611,70;611,70;524;5,4;2;2,06
".. Varicela e herpes zoster";397;398;327709,35;282192,15;45517,20;823,39;825,46;2685;6,8;29;7,30
".. Sarampo";4;4;811,08;669,68;141,40;202,77;202,77;11;2,8;-;-
".. Rubéola";1;1;55,27;43,65;11,62;55,27;55,27;1;1,0;-;-
".. Hepatite aguda B";74;74;76983,57;69339,79;7643,78;1040,32;1040,32;628;8,5;12;16,22
".. Outras hepatites virais";267;267;250557,08;222561,59;27995,49;938,42;938,42;1707;6,4;23;8,61
".. Doença pelo vírus da imunodefic humana [HIV]";2166;2198;3342387,12;2977794,26;364592,86;1520,65;1543,12;33600;15,5;250;11,54
".. Caxumba [parotidite epidêmica]";40;40;7894,45;6586,66;1307,79;197,36;197,36;165;4,1;-;-
".. Outras doenças virais";1903;1903;1145660,04;988356,73;157231,26;602,03;602,03;9021;4,7;27;1,42
".... Meningite viral";277;277;364119,77;330601,99;33517,78;1314,51;1314,51;1979;7,1;10;3,61
".... Restante de outras doenças virais";1626;1626;781540,27;657754,74;123713,48;480,65;480,65;7042;4,3;17;1,05
".. Micoses";374;374;463614,81;410973,52;52641,29;1239,61;1239,61;3585;9,6;18;4,81
".. Malária";133;133;54505,43;46858,20;7647,23;409,82;409,82;590;4,4;2;1,50
".... Malária por Plasmodium falciparum";14;14;18329,60;16314,77;2014,83;1309,26;1309,26;98;7,0;1;7,14
".... Malária por Plasmodium vivax";89;89;27500,06;23214,31;4285,75;308,99;308,99;367;4,1;1;1,12
".... Malária por Plasmodium malariae";4;4;1507,24;1301,69;205,55;376,81;376,81;14;3,5;-;-
".... Outras formas malária conf exames parasitológ";5;5;1320,00;1108,00;212,00;264,00;264,00;21;4,2;-;-
".... Malária não especificada";21;21;5848,53;4919,43;929,10;278,50;278,50;90;4,3;-;-
".. Leishmaniose";271;271;147417,08;129461,12;17955,96;543,97;543,97;3454;12,7;8;2,95
".... Leishmaniose visceral";161;161;99593,10;88089,68;11503,42;618,59;618,59;2151;13,4;2;1,24
".... Leishmaniose cutânea";48;48;18742,64;16037,01;2705,63;390,47;390,47;629;13,1;2;4,17
".... Leishmaniose cutâneo-mucosa";13;13;5211,58;4617,80;593,78;400,89;400,89;139;10,7;1;7,69
".... Leishmaniose não especificada";49;49;23869,76;20716,63;3153,13;487,14;487,14;535;10,9;3;6,12
".. Tripanossomíase";47;47;359499,86;312583,35;46916,51;7648,93;7648,93;452;9,6;7;14,89
".. Esquistossomose";15;15;8141,18;7255,50;885,68;542,75;542,75;163;10,9;-;-
".. Filariose";2;2;1437,81;1058,13;379,68;718,90;718,90;33;16,5;-;-
".. Ancilostomíase";1;1;303,11;259,93;43,18;303,11;303,11;2;2,0;-;-
".. Outras helmintíases";73;73;84754,91;63095,26;21659,65;1161,03;1161,03;529;7,2;1;1,37
".. Seqüelas de tuberculose";8;8;59539,50;48362,40;11177,10;7442,44;7442,44;139;17,4;-;-
".. Seqüelas de poliomielite";22;25;50406,68;40268,92;10137,76;2016,27;2291,21;254;11,5;-;-
".. Seqüelas de hanseníase [lepra]";17;23;35500,14;28184,55;7315,59;1543,48;2088,24;276;16,2;-;-
".. Outras doenças infecciosas e parasitárias";1854;1854;1046132,77;898076,47;148056,30;564,26;564,26;11428;6,2;47;2,54
"02 Neoplasias (tumores)";33231;33244;57458151,01;47287555,20;10166900,63;1728,38;1729,05;224230;6,7;4965;14,94
".. Neoplasia maligna do lábio cavid oral e faringe";1164;1166;1308008,71;1097854,61;210154,10;1121,79;1123,72;7270;6,2;204;17,53
".. Neoplasia maligna do esôfago";1228;1228;1546306,62;1316286,71;230019,91;1259,21;1259,21;8300;6,8;220;17,92
".. Neoplasia maligna do estômago";1725;1726;2653455,10;2267077,94;386377,16;1537,34;1538,23;10456;6,1;324;18,78
".. Neoplasia maligna do cólon";2753;2753;5205105,53;4409258,94;795722,28;1890,70;1890,70;14667;5,3;273;9,92
".. Neopl malig junção retoss reto ânus canal anal";1495;1495;2684800,02;2279278,36;405521,66;1795,85;1795,85;8844;5,9;162;10,84
".. Neopl malig fígado e vias biliares intra-hepát";498;499;634092,67;543763,73;90328,94;1270,73;1273,28;3345;6,7;177;35,54
".. Neoplasia maligna do pâncreas";747;747;1177085,93;998453,13;178632,80;1575,75;1575,75;6258;8,4;224;29,99
".. Outras neoplasias malignas de órgãos digestivos";633;633;1231251,56;1032095,45;197479,04;1945,11;1945,11;5499;8,7;169;26,70
".. Neoplasias malignas de laringe";533;533;615694,80;493431,47;122263,33;1155,15;1155,15;3629;6,8;77;14,45
".. Neoplasia maligna de traquéia brônquios e pulm";1601;1602;1789793,33;1515941,88;273851,45;1117,22;1117,92;12880;8,0;536;33,48
".. Outras neopl malig órg respirat e intratorác";215;215;446616,32;348003,90;98612,42;2077,29;2077,29;1753;8,2;41;19,07
".. Neoplasia maligna do osso e cartilagem articul";478;478;956099,61;805568,13;150531,48;2000,21;2000,21;3288;6,9;30;6,28
".. Neoplasia maligna da pele";272;272;334831,87;264132,81;70699,06;1231,00;1231,00;1252;4,6;34;12,50
".. Outras neoplasias malignas da pele";634;634;651571,46;503578,79;147992,67;1027,72;1027,72;1751;2,8;31;4,89
".. Neopl malig do tecido mesotelial e tec moles";622;622;1373027,55;1115533,63;257493,92;2207,44;2207,44;3873;6,2;74;11,90
".. Neoplasia maligna da mama";2220;2224;2706345,52;2090447,22;615898,30;1216,88;1219,07;11905;5,4;411;18,51
".. Neoplasia maligna do colo do útero";1001;1001;1221171,82;1041412,07;179481,17;1219,95;1219,95;7609;7,6;163;16,28
".. Neopl malig outr porções e porç não espec útero";352;352;476620,86;394848,05;81772,81;1354,04;1354,04;2321;6,6;69;19,60
".. Outras neopl malignas órgãos genitais femininos";621;621;1082991,00;882507,01;199894,09;1743,95;1743,95;4367;7,0;116;18,68
".. Neoplasia maligna da próstata";1217;1219;1506842,51;1214945,18;291897,33;1236,13;1238,16;7522;6,2;213;17,50
".. Outras neopl malignas órgãos genit masculinos";232;232;225812,14;189213,96;36598,18;973,33;973,33;1450;6,3;21;9,05
".. Neoplasia maligna da bexiga";571;571;888737,95;751010,54;137727,41;1556,46;1556,46;4119;7,2;81;14,19
".. Outras neoplasias malignas do trato urinário";401;401;608381,58;506588,71;101792,87;1517,16;1517,16;2664;6,6;54;13,47
".. Neoplasia maligna dos olhos e anexos";60;60;89561,80;74234,87;15326,93;1492,70;1492,70;376;6,3;5;8,33
".. Neoplasia maligna do encéfalo";923;923;2917213,59;2141207,97;776005,62;3160,58;3160,58;9228;10,0;157;17,01
".. Neopl malig outras partes sistema nerv central";205;205;533233,49;401697,83;131535,66;2601,14;2601,14;1921;9,4;34;16,59
".. Neopl malig outr local mal def secun e não esp";1879;1879;3098764,88;2512849,08;585915,80;1649,16;1649,16;12601;6,7;364;19,37
".. Doença de Hodgkin";259;259;535587,75;464119,28;71468,47;2067,91;2067,91;1665;6,4;8;3,09
".. Linfoma não-Hodgkin";914;914;1892082,55;1679499,95;212582,60;2070,11;2070,11;7215;7,9;98;10,72
".. Leucemia";2086;2087;6199312,98;5626398,44;572914,54;2970,44;2971,87;19382;9,3;164;7,86
".. Outras neopl malig tecidos linfóid hemat e rel";547;547;1540428,48;1345005,31;195423,17;2816,14;2816,14;5010;9,2;87;15,90
".. Carcinoma in situ de colo do útero";79;79;105199,97;79050,37;26149,60;1331,65;1331,65;115;1,5;1;1,27
".. Neoplasia benigna da pele";161;161;79794,01;58109,92;21684,09;495,61;495,61;180;1,1;-;-
".. Neoplasia benigna da mama";65;65;62873,36;40064,31;22809,05;967,28;967,28;40;0,6;-;-
".. Leiomioma do útero";1163;1163;876503,79;605734,24;269873,63;753,66;753,66;3575;3,1;2;0,17
".. Neoplasia benigna do ovário";37;37;31096,10;24060,77;7035,33;840,44;840,44;220;5,9;-;-
".. Neoplasia benigna dos órgãos urinários";10;10;20571,35;17010,18;3561,17;2057,13;2057,13;52;5,2;1;10,00
".. Neopl benig encéfalo e outr part sist nerv cent";189;189;858298,62;625287,71;233010,91;4541,26;4541,26;2549;13,5;17;8,99
