 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Ago/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";61026;61206;92738521,70;82021687,29;10715852,39;1515,19;1519,66;455363;7,5;8247;13,51
".. Cólera";44;44;25247,37;20637,79;4609,58;573,80;573,80;147;3,3;2;4,55
".. Febres tifóide e paratifóide";44;44;36881,08;30683,93;6197,15;838,21;838,21;197;4,5;1;2,27
".. Shiguelose";9;9;2744,10;2403,30;340,80;304,90;304,90;19;2,1;-;-
".. Amebíase";54;54;20517,57;18005,53;2512,04;379,96;379,96;184;3,4;2;3,70
".. Diarréia e gastroenterite origem infecc presum";8543;8543;3197823,27;2828971,50;368791,72;374,32;374,32;27886;3,3;104;1,22
".. Outras doenças infecciosas intestinais";6417;6418;2559586,86;2256778,10;302808,76;398,81;398,88;19983;3,1;69;1,08
".. Tuberculose respiratória";999;1115;1709477,13;1356500,58;352976,55;1533,16;1711,19;14510;14,5;75;7,51
".... Tuberculose pulmonar";729;837;1200421,13;942664,82;257756,31;1434,19;1646,67;11467;15,7;49;6,72
".... Outras tuberculoses respiratórias";258;266;505182,60;410437,72;94744,88;1899,18;1958,07;2963;11,5;25;9,69
".... Restante de tuberculose respiratória";12;12;3873,40;3398,04;475,36;322,78;322,78;80;6,7;1;8,33
".. Outras tuberculoses";110;113;146227,07;120866,12;25360,95;1294,04;1329,34;1285;11,7;12;10,91
".... Tuberculose do sistema nervoso";19;19;37622,53;31469,96;6152,57;1980,13;1980,13;254;13,4;3;15,79
".... Tuberc intest peritônio glângl mesentéricos";6;7;8171,81;6732,32;1439,49;1167,40;1361,97;66;11,0;-;-
".... Tuberculose óssea e das articulações";11;12;29243,47;23721,77;5521,70;2436,96;2658,50;241;21,9;-;-
".... Tuberculose do aparelho geniturinário";1;1;2532,88;1908,20;624,68;2532,88;2532,88;28;28,0;-;-
".... Tuberculose miliar";45;45;48159,49;40657,24;7502,25;1070,21;1070,21;412;9,2;6;13,33
".... Restante de outras tuberculoses";28;29;20496,89;16376,63;4120,26;706,79;732,03;284;10,1;3;10,71
".. Brucelose";1;1;339,93;286,46;53,47;339,93;339,93;8;8,0;-;-
".. Hanseníase [lepra]";193;197;127798,11;99662,11;28136,00;648,72;662,17;1629;8,4;2;1,04
".. Outros tétanos";24;24;119198,50;104583,69;14614,81;4966,60;4966,60;284;11,8;3;12,50
".. Difteria";5;5;7416,96;6705,25;711,71;1483,39;1483,39;41;8,2;1;20,00
".. Coqueluche";86;86;115599,25;104446,35;11152,90;1344,18;1344,18;514;6,0;-;-
".. Infecção meningocócica";85;85;153129,28;138581,62;14547,66;1801,52;1801,52;788;9,3;9;10,59
".. Septicemia";11465;11465;42736049,77;37951233,40;4784309,30;3727,52;3727,52;128714;11,2;5289;46,13
".. Outras doenças bacterianas";19488;19489;31241095,21;28014616,27;3226331,30;1603,01;1603,09;157043;8,1;2217;11,38
".... Leptospirose icterohemorrágica";8;8;40332,13;36036,24;4295,89;5041,52;5041,52;92;11,5;-;-
".... Outras formas de leptospirose";11;11;19321,11;17533,25;1787,86;1756,46;1756,46;110;10,0;1;9,09
".... Leptospirose não especificada";151;151;199461,54;177601,64;21859,90;1320,94;1320,94;1225;8,1;8;5,30
".... Restante de outras doenças bacterianas";19318;19319;30981980,43;27783445,14;3198387,65;1603,71;1603,79;155616;8,1;2208;11,43
".. Sífilis congênita";1567;1567;1126739,35;807323,64;319415,71;719,04;719,04;14288;9,1;-;-
".. Sífilis precoce";24;24;22062,01;17097,07;4964,94;919,25;919,25;271;11,3;-;-
".. Outras sífilis";150;150;91374,40;72967,13;18407,27;609,16;609,16;1443;9,6;2;1,33
".. Infecção gonocócica";6;6;1639,77;1385,64;254,13;273,30;273,30;25;4,2;-;-
".. Outras infecções com transm predominant sexual";86;86;35995,21;27985,52;8009,69;418,55;418,55;509;5,9;1;1,16
".. Febres recorrentes";87;87;42653,87;36999,79;5654,08;490,27;490,27;401;4,6;-;-
".. Tracoma";1;1;292,89;246,84;46,05;292,89;292,89;3;3,0;-;-
".. Raiva";6;6;19995,18;17584,40;2410,78;3332,53;3332,53;60;10,0;-;-
".. Encefalite viral";207;207;417549,76;376918,08;40631,68;2017,15;2017,15;2113;10,2;11;5,31
".. Febre amarela";2;2;298,67;252,44;46,23;149,33;149,33;10;5,0;-;-
".. Outras febre p/arbovírus e febr hemorr p/vírus";3724;3724;1380716,60;1142759,61;237884,94;370,76;370,76;12775;3,4;45;1,21
