 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Nov/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";59117;59269;89700933,84;79431164,51;10268557,76;1513,45;1517,35;436413;7,4;7413;12,54
".. Cólera";47;47;61451,93;50138,94;11312,99;1307,49;1307,49;218;4,6;4;8,51
".. Febres tifóide e paratifóide";12;12;4288,93;3775,67;513,26;357,41;357,41;45;3,8;-;-
".. Shiguelose";13;13;6113,61;5348,86;764,75;470,28;470,28;38;2,9;-;-
".. Amebíase";82;82;32894,30;29071,70;3822,60;401,15;401,15;318;3,9;1;1,22
".. Diarréia e gastroenterite origem infecc presum";9535;9535;3668303,04;3245685,48;422473,46;384,72;384,72;30825;3,2;106;1,11
".. Outras doenças infecciosas intestinais";7572;7572;2992065,55;2649915,38;342150,17;395,15;395,15;22805;3,0;65;0,86
".. Tuberculose respiratória";995;1109;1679924,44;1332710,23;347102,37;1514,81;1688,37;14311;14,4;79;7,94
".... Tuberculose pulmonar";728;839;1240383,71;980820,56;259451,31;1478,41;1703,82;11558;15,9;53;7,28
".... Outras tuberculoses respiratórias";257;260;432091,62;345958,58;86133,04;1661,89;1681,29;2668;10,4;24;9,34
".... Restante de tuberculose respiratória";10;10;7449,11;5931,09;1518,02;744,91;744,91;85;8,5;2;20,00
".. Outras tuberculoses";136;139;191116,22;154050,23;37065,99;1374,94;1405,27;1430;10,5;16;11,76
".... Tuberculose do sistema nervoso";30;30;22997,41;18160,39;4837,02;766,58;766,58;245;8,2;3;10,00
".... Tuberc intest peritônio glângl mesentéricos";13;13;21610,58;17852,68;3757,90;1662,35;1662,35;190;14,6;-;-
".... Tuberculose óssea e das articulações";6;8;29022,87;21905,41;7117,46;3627,86;4837,15;73;12,2;-;-
".... Tuberculose do aparelho geniturinário";1;1;579,43;528,16;51,27;579,43;579,43;18;18,0;-;-
".... Tuberculose miliar";53;53;83274,39;69101,91;14172,48;1571,21;1571,21;622;11,7;11;20,75
".... Restante de outras tuberculoses";33;34;33631,54;26501,68;7129,86;989,16;1019,14;282;8,5;2;6,06
".. Peste";2;2;765,74;682,68;83,06;382,87;382,87;3;1,5;-;-
".. Brucelose";3;3;2242,26;2063,10;179,16;747,42;747,42;15;5,0;-;-
".. Hanseníase [lepra]";155;157;147117,66;118437,87;28679,79;937,06;949,15;1134;7,3;6;3,87
".. Outros tétanos";21;21;115007,52;101091,66;13915,86;5476,55;5476,55;273;13,0;6;28,57
".. Difteria";10;10;26321,44;23757,44;2564,00;2632,14;2632,14;129;12,9;2;20,00
".. Coqueluche";80;80;121743,75;109227,94;12515,81;1521,80;1521,80;525;6,6;1;1,25
".. Infecção meningocócica";83;83;187922,04;167930,86;19991,18;2264,12;2264,12;833;10,0;6;7,23
".. Septicemia";10985;10985;40971350,38;36401261,20;4569758,51;3729,75;3729,75;124579;11,3;4792;43,62
".. Outras doenças bacterianas";18721;18723;30449466,40;27318352,56;3130488,88;1626,31;1626,49;150220;8,0;1919;10,25
".... Leptospirose icterohemorrágica";11;11;37828,27;33833,14;3995,13;3438,93;3438,93;125;11,4;2;18,18
".... Outras formas de leptospirose";13;13;8312,55;7476,42;836,13;639,43;639,43;72;5,5;1;7,69
".... Leptospirose não especificada";131;131;146712,69;128477,30;18235,39;1119,94;1119,94;772;5,9;8;6,11
".... Restante de outras doenças bacterianas";18566;18568;30256612,89;27148565,70;3107422,23;1629,50;1629,68;149251;8,0;1908;10,28
".. Sífilis congênita";1401;1401;976134,44;699549,80;276584,64;696,74;696,74;12607;9,0;-;-
".. Sífilis precoce";38;38;34302,16;28823,00;5479,16;902,69;902,69;362;9,5;1;2,63
".. Outras sífilis";149;149;84799,19;66103,46;18695,73;569,12;569,12;1582;10,6;2;1,34
".. Infecção gonocócica";8;8;2217,25;1856,04;361,21;277,16;277,16;46;5,8;-;-
".. Doenças por clamídias transmitidas via sexual";5;5;1771,88;1544,11;227,77;354,38;354,38;30;6,0;-;-
".. Outras infecções com transm predominant sexual";64;64;32920,12;25568,98;7351,14;514,38;514,38;446;7,0;5;7,81
".. Febres recorrentes";96;96;30571,77;25932,69;4639,08;318,46;318,46;378;3,9;-;-
".. Tifo exantemático";1;1;503,46;492,58;10,88;503,46;503,46;1;1,0;-;-
".. Raiva";11;11;26319,87;23403,31;2916,56;2392,72;2392,72;93;8,5;-;-
".. Encefalite viral";186;186;342670,31;309581,67;33088,64;1842,31;1842,31;1698;9,1;10;5,38
".. Febre amarela";1;1;525,07;472,05;53,02;525,07;525,07;6;6,0;-;-
".. Outras febre p/arbovírus e febr hemorr p/vírus";1474;1474;504530,37;415100,50;89429,87;342,29;342,29;4992;3,4;15;1,02
".... Dengue [dengue clásssico]";1231;1231;410714,51;335109,98;75604,53;333,64;333,64;4021;3,3;5;0,41
".... Febre hemorrágica devida ao vírus da dengue";81;81;40087,63;34202,57;5885,06;494,91;494,91;364;4,5;8;9,88
".... Restante outr febr arbovírus febr hemor vírus";162;162;53728,23;45787,95;7940,28;331,66;331,66;607;3,7;2;1,23
".. Infecções pelo vírus do herpes";118;118;38076,56;31070,54;7006,02;322,68;322,68;548;4,6;2;1,69
".. Varicela e herpes zoster";419;419;347433,25;301736,12;45697,13;829,20;829,20;2898;6,9;29;6,92
".. Sarampo";106;106;68519,01;59072,80;9446,21;646,41;646,41;436;4,1;1;0,94
".. Hepatite aguda B";75;75;76037,51;68423,46;7614,05;1013,83;1013,83;702;9,4;4;5,33
".. Outras hepatites virais";230;230;122544,96;108131,77;14413,19;532,80;532,80;1409;6,1;21;9,13
".. Doença pelo vírus da imunodefic humana [HIV]";2024;2044;3358435,89;2982982,23;375453,66;1643,07;1659,31;33539;16,6;235;11,61
".. Caxumba [parotidite epidêmica]";54;54;11584,22;9657,15;1927,07;214,52;214,52;208;3,9;-;-
".. Outras doenças virais";1501;1501;1098034,11;928812,41;169221,70;731,54;731,54;8196;5,5;16;1,07
".... Meningite viral";263;263;325866,76;292109,09;33757,67;1239,04;1239,04;1909;7,3;5;1,90
".... Restante de outras doenças virais";1238;1238;772167,35;636703,32;135464,03;623,72;623,72;6287;5,1;11;0,89
".. Micoses";234;234;286059,20;255602,52;30456,68;1222,48;1222,48;2524;10,8;14;5,98
".. Malária";145;145;45672,61;38494,64;7177,97;314,98;314,98;613;4,2;-;-
".... Malária por Plasmodium falciparum";12;12;8550,04;7392,20;1157,84;712,50;712,50;87;7,3;-;-
".... Malária por Plasmodium vivax";99;99;26186,08;21966,59;4219,49;264,51;264,51;405;4,1;-;-
".... Malária por Plasmodium malariae";4;4;1214,09;1051,54;162,55;303,52;303,52;29;7,3;-;-
".... Outras formas malária conf exames parasitológ";1;1;253,21;210,81;42,40;253,21;253,21;4;4,0;-;-
".... Malária não especificada";29;29;9469,19;7873,50;1595,69;326,52;326,52;88;3,0;-;-
".. Leishmaniose";260;260;155283,06;135754,40;19528,66;597,24;597,24;3122;12,0;7;2,69
".... Leishmaniose visceral";140;140;109153,10;95955,92;13197,18;779,67;779,67;1745;12,5;7;5,00
".... Leishmaniose cutânea";60;60;16106,16;13903,08;2203,08;268,44;268,44;569;9,5;-;-
".... Leishmaniose cutâneo-mucosa";14;14;15699,30;13475,44;2223,86;1121,38;1121,38;275;19,6;-;-
".... Leishmaniose não especificada";46;46;14324,50;12419,96;1904,54;311,40;311,40;533;11,6;-;-
".. Tripanossomíase";43;43;105706,14;90334,95;15371,19;2458,28;2458,28;302;7,0;6;13,95
".. Esquistossomose";9;9;5853,91;5344,20;509,71;650,43;650,43;87;9,7;-;-
".. Filariose";2;2;1615,32;1388,44;226,88;807,66;807,66;36;18,0;-;-
".. Ancilostomíase";2;2;465,29;378,93;86,36;232,64;232,64;6;3,0;-;-
".. Outras helmintíases";76;76;38452,56;32647,71;5804,85;505,95;505,95;509;6,7;3;3,95
".. Seqüelas de tuberculose";13;14;62875,42;53296,97;9578,45;4491,10;4836,57;137;10,5;-;-
".. Seqüelas de poliomielite";15;20;34943,17;30424,38;4518,79;1747,16;2329,54;231;15,4;1;6,67
".. Seqüelas de hanseníase [lepra]";21;26;72486,75;60815,60;11671,15;2787,95;3451,75;292;13,9;3;14,29
".. Outras doenças infecciosas e parasitárias";1884;1884;1075493,80;924865,30;150628,50;570,86;570,86;10676;5,7;35;1,86
"02 Neoplasias (tumores)";33242;33253;57504808,90;47360840,64;10140417,64;1729,31;1729,88;217013;6,5;4834;14,54
".. Neoplasia maligna do lábio cavid oral e faringe";1165;1166;1561653,86;1297581,20;264072,66;1339,33;1340,48;7397;6,3;205;17,60
".. Neoplasia maligna do esôfago";1124;1125;1281443,15;1098083,52;183359,63;1139,06;1140,07;7367;6,6;193;17,17
".. Neoplasia maligna do estômago";1714;1714;2583183,47;2209034,87;374148,60;1507,11;1507,11;10070;5,9;333;19,43
".. Neoplasia maligna do cólon";2509;2510;4737621,07;4001080,26;736540,81;1887,50;1888,25;13097;5,2;271;10,80
".. Neopl malig junção retoss reto ânus canal anal";1451;1451;2793222,80;2370253,27;422969,53;1925,03;1925,03;8843;6,1;167;11,51
".. Neopl malig fígado e vias biliares intra-hepát";559;560;903175,37;780721,68;122453,69;1612,81;1615,70;3589;6,4;188;33,63
".. Neoplasia maligna do pâncreas";803;803;1326564,13;1123344,73;203219,40;1652,01;1652,01;5912;7,4;205;25,53
".. Outras neoplasias malignas de órgãos digestivos";659;659;1119235,27;948898,41;169282,72;1698,38;1698,38;5246;8,0;188;28,53
".. Neoplasias malignas de laringe";574;574;728832,58;590372,54;138460,04;1269,74;1269,74;3183;5,5;92;16,03
".. Neoplasia maligna de traquéia brônquios e pulm";1580;1580;1668681,18;1415188,02;253493,16;1056,13;1056,13;12752;8,1;489;30,95
".. Outras neopl malig órg respirat e intratorác";200;200;571080,63;450409,49;120671,14;2855,40;2855,40;1830;9,2;37;18,50
".. Neoplasia maligna do osso e cartilagem articul";464;464;939976,67;797941,33;142035,34;2025,81;2025,81;3212;6,9;31;6,68
".. Neoplasia maligna da pele";245;245;275766,39;222326,15;53440,24;1125,58;1125,58;1173;4,8;33;13,47
".. Outras neoplasias malignas da pele";593;593;724734,20;552662,79;172071,41;1222,15;1222,15;1526;2,6;26;4,38
".. Neopl malig do tecido mesotelial e tec moles";649;649;1625027,83;1292205,12;332822,71;2503,89;2503,89;3791;5,8;70;10,79
".. Neoplasia maligna da mama";2163;2163;2403662,36;1877078,64;526583,72;1111,26;1111,26;11691;5,4;379;17,52
".. Neoplasia maligna do colo do útero";1127;1127;1261568,73;1076077,39;183880,80;1119,40;1119,40;8062;7,2;172;15,26
".. Neopl malig outr porções e porç não espec útero";359;359;544784,65;446350,88;98433,77;1517,51;1517,51;2240;6,2;59;16,43
".. Outras neopl malignas órgãos genitais femininos";670;672;1221021,77;984063,04;236958,73;1817,00;1822,42;3943;5,9;104;15,52
".. Neoplasia maligna da próstata";1222;1223;1669828,28;1354074,17;315754,11;1365,35;1366,47;8038;6,6;247;20,21
".. Outras neopl malignas órgãos genit masculinos";282;282;308130,49;253745,56;54384,93;1092,66;1092,66;1684;6,0;16;5,67
".. Neoplasia maligna da bexiga";633;633;894057,43;756012,64;138044,79;1412,41;1412,41;4458;7,0;96;15,17
".. Outras neoplasias malignas do trato urinário";435;435;678883,73;558645,15;119960,00;1560,65;1560,65;2641;6,1;75;17,24
".. Neoplasia maligna dos olhos e anexos";123;123;118472,09;94304,45;24167,64;963,19;963,19;491;4,0;2;1,63
".. Neoplasia maligna do encéfalo";943;945;3127671,98;2326221,68;801450,30;3309,71;3316,73;9283;9,8;132;14,00
".. Neopl malig outras partes sistema nerv central";180;180;578633,59;437803,63;140829,96;3214,63;3214,63;2032;11,3;29;16,11
".. Neopl malig outr local mal def secun e não esp";1863;1864;3107174,58;2511358,13;595390,42;1666,94;1667,83;11839;6,4;346;18,57
".. Doença de Hodgkin";235;235;294764,22;258561,26;36202,96;1254,32;1254,32;1370;5,8;20;8,51
".. Linfoma não-Hodgkin";986;986;1625338,52;1452071,93;173266,59;1648,42;1648,42;7097;7,2;93;9,43
".. Leucemia";2121;2121;7004603,62;6307219,84;697383,78;3302,50;3302,50;18987;9,0;159;7,50
".. Outras neopl malig tecidos linfóid hemat e rel";495;496;1339900,70;1173114,70;166786,00;2701,41;2706,87;4373;8,8;75;15,15
".. Carcinoma in situ de colo do útero";75;75;86264,86;66633,75;19631,11;1150,20;1150,20;148;2,0;1;1,33
".. Neoplasia benigna da pele";184;184;84405,34;61870,64;22534,70;458,72;458,72;247;1,3;-;-
".. Neoplasia benigna da mama";67;67;82575,31;52992,09;29583,22;1232,47;1232,47;38;0,6;-;-
".. Leiomioma do útero";1331;1331;979531,98;674960,61;304571,37;735,94;735,94;4023;3,0;4;0,30
".. Neoplasia benigna do ovário";34;34;25186,92;18144,64;7042,28;740,79;740,79;97;2,9;-;-
".. Neoplasia benigna dos órgãos urinários";8;8;19228,04;16499,90;2728,14;2403,51;2403,51;79;9,9;1;12,50
