 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Dez/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";57736;57913;86233183,27;76389032,90;9842113,33;1489,01;1493,58;418378;7,2;7314;12,67
".. Cólera";51;51;78898,18;65583,86;13314,32;1547,02;1547,02;273;5,4;1;1,96
".. Febres tifóide e paratifóide";23;23;27026,19;23339,25;3686,94;1175,05;1175,05;151;6,6;-;-
".. Shiguelose";15;15;5459,98;4910,73;549,25;364,00;364,00;66;4,4;-;-
".. Amebíase";70;70;23760,04;21003,61;2756,43;339,43;339,43;230;3,3;1;1,43
".. Diarréia e gastroenterite origem infecc presum";9305;9305;3522730,79;3117838,56;404892,23;378,58;378,58;30342;3,3;106;1,14
".. Outras doenças infecciosas intestinais";7148;7148;2760614,95;2444131,69;316483,26;386,21;386,21;21969;3,1;59;0,83
".. Tuberculose respiratória";982;1125;1607050,91;1263100,78;343950,13;1428,49;1636,51;14134;14,4;99;10,08
".... Tuberculose pulmonar";705;845;1145755,78;894148,12;251607,66;1355,92;1625,19;11498;16,3;60;8,51
".... Outras tuberculoses respiratórias";267;270;456158,71;364870,07;91288,64;1689,48;1708,46;2530;9,5;39;14,61
".... Restante de tuberculose respiratória";10;10;5136,42;4082,59;1053,83;513,64;513,64;106;10,6;-;-
".. Outras tuberculoses";112;114;149330,54;124309,41;25021,13;1309,92;1333,31;1257;11,2;10;8,93
".... Tuberculose do sistema nervoso";20;20;21076,18;16998,89;4077,29;1053,81;1053,81;216;10,8;1;5,00
".... Tuberc intest peritônio glângl mesentéricos";8;8;18186,50;16217,99;1968,51;2273,31;2273,31;82;10,3;-;-
".... Tuberculose óssea e das articulações";8;8;6539,86;5558,53;981,33;817,48;817,48;61;7,6;-;-
".... Tuberculose do aparelho geniturinário";1;1;118,49;96,19;22,30;118,49;118,49;33;33,0;-;-
".... Tuberculose miliar";40;41;43561,91;36032,90;7529,01;1062,49;1089,05;391;9,8;3;7,50
".... Restante de outras tuberculoses";35;36;59847,60;49404,91;10442,69;1662,43;1709,93;474;13,5;6;17,14
".. Peste";1;1;149,44;125,45;23,99;149,44;149,44;2;2,0;-;-
".. Brucelose";2;2;1891,90;1698,41;193,49;945,95;945,95;2;1,0;-;-
".. Hanseníase [lepra]";150;152;94705,52;74606,47;20099,05;623,06;631,37;1254;8,4;2;1,33
".. Outros tétanos";18;18;97564,68;87069,02;10495,66;5420,26;5420,26;176;9,8;3;16,67
".. Difteria";3;3;12104,44;10667,38;1437,06;4034,81;4034,81;35;11,7;-;-
".. Coqueluche";64;64;81467,30;73187,98;8279,32;1272,93;1272,93;338;5,3;-;-
".. Infecção meningocócica";75;75;167575,80;150862,03;16713,77;2234,34;2234,34;671;8,9;5;6,67
".. Septicemia";10881;10881;39471010,50;35093100,43;4377392,07;3627,52;3627,52;118824;10,9;4744;43,60
".. Outras doenças bacterianas";18365;18366;29370011,97;26394011,62;2974760,55;1599,15;1599,24;145139;7,9;1853;10,09
".... Leptospirose icterohemorrágica";12;12;29003,02;25398,65;3604,37;2416,92;2416,92;98;8,2;3;25,00
".... Outras formas de leptospirose";8;8;8115,75;7125,74;990,01;1014,47;1014,47;57;7,1;-;-
".... Leptospirose não especificada";130;130;107542,28;93866,18;13676,10;827,25;827,25;818;6,3;3;2,31
".... Restante de outras doenças bacterianas";18215;18216;29225350,92;26267621,05;2956490,07;1604,38;1604,47;144166;7,9;1847;10,14
".. Sífilis congênita";1316;1316;991867,89;702653,27;289158,82;753,70;753,70;11906;9,0;4;0,30
".. Sífilis precoce";51;51;34914,84;27996,86;6917,98;684,60;684,60;445;8,7;1;1,96
".. Outras sífilis";140;140;112168,53;81654,61;30513,92;801,20;801,20;1624;11,6;1;0,71
".. Infecção gonocócica";5;5;1416,97;1182,89;234,08;283,39;283,39;39;7,8;-;-
".. Doenças por clamídias transmitidas via sexual";5;5;2661,84;1801,37;860,47;532,37;532,37;15;3,0;-;-
".. Outras infecções com transm predominant sexual";74;74;45931,59;38493,79;7437,80;620,70;620,70;511;6,9;1;1,35
".. Febres recorrentes";110;110;41801,85;35286,64;6515,21;380,02;380,02;451;4,1;1;0,91
