 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Fev/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";66927;67109;91968549,48;81422000,64;10545463,49;1370,44;1374,16;457289;6,8;7418;11,08
".. Cólera";51;51;68229,48;58094,73;10134,75;1337,83;1337,83;282;5,5;2;3,92
".. Febres tifóide e paratifóide";33;33;10450,19;9262,03;1188,16;316,67;316,67;123;3,7;1;3,03
".. Shiguelose";7;7;2783,75;2503,15;280,60;397,68;397,68;22;3,1;-;-
".. Amebíase";79;79;31090,23;27546,97;3543,26;393,55;393,55;335;4,2;-;-
".. Diarréia e gastroenterite origem infecc presum";10974;10974;4135402,35;3656540,46;478861,89;376,84;376,84;34191;3,1;111;1,01
".. Outras doenças infecciosas intestinais";7943;7943;3127358,59;2766466,47;360892,12;393,73;393,73;24339;3,1;55;0,69
".. Tuberculose respiratória";962;1110;1569084,25;1237744,80;331339,45;1413,59;1631,06;13742;14,3;81;8,42
".... Tuberculose pulmonar";686;833;1132753,03;883315,52;249437,51;1359,85;1651,24;11038;16,1;62;9,04
".... Outras tuberculoses respiratórias";261;262;424158,51;344544,60;79613,91;1618,93;1625,13;2571;9,9;18;6,90
".... Restante de tuberculose respiratória";15;15;12172,71;9884,68;2288,03;811,51;811,51;133;8,9;1;6,67
".. Outras tuberculoses";92;95;113701,80;93859,57;19842,23;1196,86;1235,89;954;10,4;9;9,78
".... Tuberculose do sistema nervoso";19;20;28032,85;23171,65;4861,20;1401,64;1475,41;254;13,4;4;21,05
".... Tuberc intest peritônio glângl mesentéricos";3;3;2526,99;2159,15;367,84;842,33;842,33;27;9,0;-;-
".... Tuberculose óssea e das articulações";2;2;2929,63;2267,49;662,14;1464,82;1464,82;28;14,0;-;-
".... Tuberculose miliar";41;41;56684,32;47841,85;8842,47;1382,54;1382,54;366;8,9;4;9,76
".... Restante de outras tuberculoses";27;29;23528,01;18419,43;5108,58;811,31;871,41;279;10,3;1;3,70
".. Peste";2;2;1161,53;955,40;206,13;580,76;580,76;12;6,0;-;-
".. Brucelose";2;2;572,10;491,86;80,24;286,05;286,05;10;5,0;-;-
".. Hanseníase [lepra]";187;189;162350,85;131674,40;30676,45;859,00;868,19;1568;8,4;2;1,07
".. Tétano neonatal";3;3;5479,25;4923,59;555,66;1826,42;1826,42;11;3,7;1;33,33
".. Outros tétanos";15;15;125182,28;109114,15;16068,13;8345,49;8345,49;295;19,7;4;26,67
".. Difteria";19;19;67719,36;60745,84;6973,52;3564,18;3564,18;259;13,6;1;5,26
".. Coqueluche";72;72;95999,94;86891,36;9108,58;1333,33;1333,33;494;6,9;-;-
".. Infecção meningocócica";50;50;107295,02;95420,04;11874,98;2145,90;2145,90;463;9,3;4;8,00
".. Septicemia";11099;11099;40037390,77;35600079,55;4436873,20;3607,30;3607,30;122970;11,1;4789;43,15
".. Outras doenças bacterianas";20324;20325;31919853,72;28687632,82;3232033,96;1570,47;1570,55;160286;7,9;1940;9,55
".... Leptospirose icterohemorrágica";11;11;39821,94;36479,11;3342,83;3620,18;3620,18;166;15,1;2;18,18
".... Outras formas de leptospirose";16;16;10062,42;9131,33;931,09;628,90;628,90;90;5,6;1;6,25
".... Leptospirose não especificada";231;231;251561,37;220548,98;31012,39;1089,01;1089,01;1363;5,9;7;3,03
".... Restante de outras doenças bacterianas";20066;20067;31618407,99;28421473,40;3196747,65;1575,64;1575,72;158667;7,9;1930;9,62
".. Sífilis congênita";1342;1342;995371,97;709829,04;285542,93;741,71;741,71;11865;8,8;3;0,22
".. Sífilis precoce";37;37;13508,26;11494,73;2013,53;365,09;365,09;310;8,4;-;-
".. Outras sífilis";130;130;104468,04;84041,36;20426,68;803,60;803,60;1432;11,0;-;-
".. Infecção gonocócica";2;2;873,51;814,90;58,61;436,75;436,75;6;3,0;-;-
".. Doenças por clamídias transmitidas via sexual";11;11;3920,99;3413,10;507,89;356,45;356,45;72;6,5;1;9,09
".. Outras infecções com transm predominant sexual";81;81;38520,35;28150,87;10313,68;475,56;475,56;671;8,3;1;1,23
".. Febres recorrentes";102;102;39300,63;32940,68;6359,95;385,30;385,30;444;4,4;1;0,98
