 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Abr/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";54424;54588;91304425,19;80133019,22;11168907,25;1672,61;1677,65;401494;7,4;7666;14,09
".. Cólera";28;28;20036,19;15304,01;3021,16;715,58;715,58;118;4,2;1;3,57
".. Febres tifóide e paratifóide";20;20;28550,35;24365,00;4185,35;1427,52;1427,52;99;5,0;-;-
".. Shiguelose";9;9;3640,42;3315,25;325,17;404,49;404,49;36;4,0;-;-
".. Amebíase";50;50;35907,88;31793,89;4113,99;718,16;718,16;258;5,2;2;4,00
".. Diarréia e gastroenterite origem infecc presum";5473;5473;2165202,26;1912856,06;252274,15;395,62;395,62;17856;3,3;74;1,35
".. Outras doenças infecciosas intestinais";4274;4274;1848479,42;1633884,58;214594,84;432,49;432,49;13731;3,2;41;0,96
".. Tuberculose respiratória";867;995;1463838,79;1152112,27;311726,52;1471,19;1688,40;12443;14,4;75;8,65
".... Tuberculose pulmonar";618;742;989943,74;769316,16;220627,58;1334,16;1601,85;9898;16,0;52;8,41
".... Outras tuberculoses respiratórias";233;237;470210,09;379808,78;90401,31;1984,01;2018,07;2424;10,4;23;9,87
".... Restante de tuberculose respiratória";16;16;3684,96;2987,33;697,63;230,31;230,31;121;7,6;-;-
".. Outras tuberculoses";97;102;143130,91;115316,74;27814,17;1403,24;1475,58;1181;12,2;7;7,22
".... Tuberculose do sistema nervoso";25;27;53269,07;42760,95;10508,12;1972,93;2130,76;388;15,5;1;4,00
".... Tuberc intest peritônio glângl mesentéricos";10;10;15916,76;12951,19;2965,57;1591,68;1591,68;128;12,8;1;10,00
".... Tuberculose óssea e das articulações";5;5;4202,39;3494,26;708,13;840,48;840,48;64;12,8;-;-
".... Tuberculose do aparelho geniturinário";2;2;6159,31;5098,45;1060,86;3079,65;3079,65;25;12,5;1;50,00
".... Tuberculose miliar";32;34;39178,00;31231,42;7946,58;1152,29;1224,31;355;11,1;3;9,38
".... Restante de outras tuberculoses";23;24;24405,38;19780,47;4624,91;1016,89;1061,10;221;9,6;1;4,35
".. Peste";2;2;503,73;418,64;85,09;251,87;251,87;5;2,5;-;-
".. Brucelose";1;1;981,73;901,53;80,20;981,73;981,73;7;7,0;-;-
".. Hanseníase [lepra]";128;131;117385,00;91065,33;26319,67;896,07;917,07;1019;8,0;4;3,13
".. Tétano neonatal";1;1;1456,08;1316,06;140,02;1456,08;1456,08;5;5,0;1;100,00
".. Outros tétanos";13;13;58040,89;50840,39;7200,50;4464,68;4464,68;195;15,0;2;15,38
".. Difteria";3;3;5404,00;4916,14;487,86;1801,33;1801,33;21;7,0;-;-
".. Coqueluche";16;16;14185,63;13070,04;1115,59;886,60;886,60;102;6,4;-;-
".. Infecção meningocócica";59;59;136964,01;122695,41;14268,60;2321,42;2321,42;609;10,3;4;6,78
".. Septicemia";9819;9819;38285768,63;33957925,48;4327587,90;3899,15;3899,15;111336;11,3;4396;44,77
".. Outras doenças bacterianas";15791;15793;27279362,29;24483203,89;2795942,70;1727,31;1727,53;131202;8,3;1711;10,84
".... Leptospirose icterohemorrágica";7;7;20371,48;18330,04;2041,44;2910,21;2910,21;85;12,1;1;14,29
".... Outras formas de leptospirose";13;13;8780,67;7800,47;980,20;675,44;675,44;64;4,9;1;7,69
".... Leptospirose não especificada";131;131;185923,61;165732,76;20190,85;1419,26;1419,26;967;7,4;8;6,11
".... Restante de outras doenças bacterianas";15640;15642;27064286,53;24291340,62;2772730,21;1730,23;1730,45;130086;8,3;1701;10,88
".. Sífilis congênita";1609;1609;1150835,67;822410,81;328352,81;715,25;715,25;14335;8,9;1;0,06
".. Sífilis precoce";42;42;21923,55;16525,25;5398,30;521,99;521,99;370;8,8;-;-
