 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Jun/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";94672;94784;281336272,94;239946974,94;41388607,21;2968,18;2971,69;693233;7,3;18836;19,90
".. Cólera";30;30;46830,86;43020,43;3810,43;1561,03;1561,03;112;3,7;4;13,33
".. Febres tifóide e paratifóide";4;4;1266,33;1136,95;129,38;316,58;316,58;16;4,0;-;-
".. Shiguelose";5;5;957,79;843,21;114,58;191,56;191,56;11;2,2;-;-
".. Amebíase";33;33;14609,34;13119,01;1490,33;442,71;442,71;127;3,8;-;-
".. Diarréia e gastroenterite origem infecc presum";3505;3505;1409733,47;1251166,32;158567,15;402,21;402,21;11532;3,3;64;1,83
".. Outras doenças infecciosas intestinais";3240;3240;1460982,82;1285527,76;175455,06;450,92;450,92;10190;3,1;33;1,02
".. Tuberculose respiratória";685;773;1253610,77;993725,44;259885,33;1621,75;1830,09;9234;13,5;75;10,95
".... Tuberculose pulmonar";480;568;789350,42;613575,26;175775,16;1389,70;1644,48;7254;15,1;40;8,33
".... Outras tuberculoses respiratórias";187;187;454637,84;372560,45;82077,39;2431,22;2431,22;1831;9,8;33;17,65
".... Restante de tuberculose respiratória";18;18;9622,51;7589,73;2032,78;534,58;534,58;149;8,3;2;11,11
".. Outras tuberculoses";101;104;166672,59;137315,57;29357,02;1602,62;1650,22;1096;10,9;15;14,85
".... Tuberculose do sistema nervoso";24;25;62111,42;50896,83;11214,59;2484,46;2587,98;256;10,7;6;25,00
".... Tuberc intest peritônio glângl mesentéricos";5;5;3674,58;2849,11;825,47;734,92;734,92;73;14,6;-;-
".... Tuberculose óssea e das articulações";3;3;11769,17;10074,64;1694,53;3923,06;3923,06;42;14,0;-;-
".... Tuberculose do aparelho geniturinário";1;1;2170,00;1656,87;513,13;2170,00;2170,00;23;23,0;-;-
".... Tuberculose miliar";41;42;51445,77;42901,62;8544,15;1224,90;1254,77;398;9,7;5;12,20
".... Restante de outras tuberculoses";27;28;35501,65;28936,50;6565,15;1267,92;1314,88;304;11,3;4;14,81
".. Peste";2;2;3855,27;3409,33;445,94;1927,64;1927,64;12;6,0;-;-
