 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Jul/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";114432;114548;414915958,40;353885453,87;61029122,94;3622,20;3625,87;892024;7,8;21772;19,03
".. Cólera";24;24;24560,30;21406,88;3153,42;1023,35;1023,35;179;7,5;1;4,17
".. Febres tifóide e paratifóide";3;3;722,18;633,27;88,91;240,73;240,73;7;2,3;-;-
".. Shiguelose";9;9;8538,33;7305,31;1233,02;948,70;948,70;26;2,9;-;-
".. Amebíase";27;27;21239,74;18224,15;3015,59;786,66;786,66;125;4,6;1;3,70
".. Diarréia e gastroenterite origem infecc presum";3318;3318;1343849,32;1187709,78;156139,54;405,02;405,02;10946;3,3;47;1,42
".. Outras doenças infecciosas intestinais";3079;3079;1253418,26;1105301,79;148116,47;407,09;407,09;9612;3,1;31;1,01
".. Tuberculose respiratória";808;901;1451302,04;1160328,77;290973,27;1610,77;1796,17;11042;13,7;81;10,02
".... Tuberculose pulmonar";551;643;959032,31;760030,37;199001,94;1491,50;1740,53;8736;15,9;41;7,44
".... Outras tuberculoses respiratórias";242;243;484796,46;394346,67;90449,79;1995,05;2003,29;2205;9,1;39;16,12
".... Restante de tuberculose respiratória";15;15;7473,27;5951,73;1521,54;498,22;498,22;101;6,7;1;6,67
".. Outras tuberculoses";112;115;149333,00;123295,58;26037,42;1298,55;1333,33;1207;10,8;8;7,14
".... Tuberculose do sistema nervoso";25;26;57565,99;48871,92;8694,07;2214,08;2302,64;333;13,3;-;-
".... Tuberc intest peritônio glângl mesentéricos";4;4;8107,90;7133,50;974,40;2026,97;2026,97;34;8,5;-;-
".... Tuberculose óssea e das articulações";4;4;4670,61;3596,44;1074,17;1167,65;1167,65;44;11,0;-;-
".... Tuberculose do aparelho geniturinário";1;1;1685,86;1395,83;290,03;1685,86;1685,86;13;13,0;-;-
".... Tuberculose miliar";49;50;41816,25;33460,39;8355,86;836,33;853,39;440;9,0;4;8,16
".... Restante de outras tuberculoses";29;30;35486,39;28837,50;6648,89;1182,88;1223,67;343;11,8;4;13,79
".. Brucelose";1;1;935,42;870,34;65,08;935,42;935,42;11;11,0;-;-
".. Hanseníase [lepra]";140;144;138598,99;108074,66;30524,33;962,49;989,99;1122;8,0;2;1,43
".. Outros tétanos";12;12;53725,16;47304,81;6420,35;4477,10;4477,10;183;15,3;3;25,00
