 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Set/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";99014;99123;391680097,97;335179725,28;56497973,63;3951,46;3955,81;812331;8,2;18440;18,62
".. Cólera";22;22;8566,19;7336,61;1229,58;389,37;389,37;95;4,3;-;-
".. Febres tifóide e paratifóide";8;8;4397,39;3788,56;608,83;549,67;549,67;30;3,8;-;-
".. Shiguelose";3;3;718,02;628,14;89,88;239,34;239,34;4;1,3;-;-
".. Amebíase";32;32;21351,96;18481,14;2870,82;667,25;667,25;194;6,1;-;-
".. Diarréia e gastroenterite origem infecc presum";4001;4001;1646128,35;1458344,42;187783,93;411,43;411,43;12974;3,2;55;1,37
".. Outras doenças infecciosas intestinais";3568;3568;1579317,41;1396038,94;183278,47;442,63;442,63;11307;3,2;25;0,70
".. Tuberculose respiratória";787;875;1411951,88;1135689,33;276262,55;1613,66;1794,09;10342;13,1;76;9,66
".... Tuberculose pulmonar";536;622;915064,65;730951,52;184113,13;1471,17;1707,21;7903;14,7;54;10,07
".... Outras tuberculoses respiratórias";236;237;493378,26;401750,91;91627,35;2081,76;2090,59;2346;9,9;22;9,32
".... Restante de tuberculose respiratória";15;16;3508,97;2986,90;522,07;219,31;233,93;93;6,2;-;-
".. Outras tuberculoses";95;97;157572,02;129900,65;27671,37;1624,45;1658,65;1139;12,0;10;10,53
".... Tuberculose do sistema nervoso";23;24;57443,34;46406,15;11037,19;2393,47;2497,54;358;15,6;2;8,70
".... Tuberc intest peritônio glângl mesentéricos";7;7;9631,64;7768,32;1863,32;1375,95;1375,95;100;14,3;1;14,29
".... Tuberculose do aparelho geniturinário";4;4;7138,83;6188,69;950,14;1784,71;1784,71;43;10,8;1;25,00
".... Tuberculose miliar";45;45;66292,13;55637,63;10654,50;1473,16;1473,16;479;10,6;6;13,33
".... Restante de outras tuberculoses";16;17;17066,08;13899,86;3166,22;1003,89;1066,63;159;9,9;-;-
".. Peste";2;2;665,01;552,27;112,74;332,50;332,50;8;4,0;-;-
".. Hanseníase [lepra]";122;126;119244,17;94688,00;24556,17;946,38;977,41;902;7,4;3;2,46
".. Outros tétanos";8;8;18743,89;16728,53;2015,36;2342,99;2342,99;75;9,4;2;25,00
".. Difteria";1;1;865,91;793,69;72,22;865,91;865,91;3;3,0;-;-
".. Coqueluche";10;10;15067,82;13513,05;1554,77;1506,78;1506,78;63;6,3;-;-
".. Infecção meningocócica";39;39;169353,70;149825,07;19528,63;4342,40;4342,40;494;12,7;5;12,82
".. Septicemia";9087;9088;34671014,90;30775560,35;3894070,67;3815,03;3815,45;95689;10,5;4212;46,35
".. Outras doenças bacterianas";14298;14299;26134496,78;23352355,81;2781771,79;1827,71;1827,84;114701;8,0;1612;11,27
".... Leptospirose icterohemorrágica";5;5;39070,52;35570,06;3500,46;7814,10;7814,10;72;14,4;1;20,00
".... Outras formas de leptospirose";3;3;6581,95;6047,71;534,24;2193,98;2193,98;31;10,3;-;-
".... Leptospirose não especificada";50;50;77421,57;69552,22;7869,35;1548,43;1548,43;391;7,8;2;4,00
".... Restante de outras doenças bacterianas";14240;14241;26011422,74;23241185,82;2769867,74;1826,52;1826,64;114207;8,0;1609;11,30
".. Sífilis congênita";1561;1561;1152441,82;840410,35;312031,47;738,27;738,27;14018;9,0;1;0,06
".. Sífilis precoce";54;54;24027,90;19365,66;4662,24;444,96;444,96;434;8,0;-;-
".. Outras sífilis";93;93;79259,73;59172,34;20087,39;852,26;852,26;933;10,0;-;-
".. Infecção gonocócica";7;7;1948,59;1614,48;334,11;278,37;278,37;31;4,4;-;-
".. Doenças por clamídias transmitidas via sexual";3;3;864,51;721,32;143,19;288,17;288,17;13;4,3;-;-
".. Outras infecções com transm predominant sexual";68;68;25035,24;20945,50;4089,74;368,17;368,17;367;5,4;2;2,94
".. Febres recorrentes";57;57;24806,79;21165,31;3641,48;435,21;435,21;223;3,9;1;1,75
".. Raiva";7;7;23188,10;20647,00;2541,10;3312,59;3312,59;65;9,3;-;-
".. Encefalite viral";115;115;284944,81;255167,68;29777,13;2477,78;2477,78;1326;11,5;10;8,70
".. Febre amarela";4;4;1769,59;1578,36;191,23;442,40;442,40;10;2,5;-;-
".. Outras febre p/arbovírus e febr hemorr p/vírus";613;613;321121,05;271227,59;49893,46;523,85;523,85;2297;3,7;9;1,47
".... Dengue [dengue clásssico]";505;505;219036,21;183038,60;35997,61;433,74;433,74;1812;3,6;5;0,99
".... Febre hemorrágica devida ao vírus da dengue";39;39;31383,67;26807,61;4576,06;804,71;804,71;157;4,0;2;5,13
".... Restante outr febr arbovírus febr hemor vírus";69;69;70701,17;61381,38;9319,79;1024,65;1024,65;328;4,8;2;2,90
".. Infecções pelo vírus do herpes";74;74;32130,53;25285,08;6845,45;434,20;434,20;385;5,2;-;-
".. Varicela e herpes zoster";260;260;357123,75;311690,87;45432,88;1373,55;1373,55;1768;6,8;20;7,69
".. Sarampo";9;9;2565,79;2195,16;370,63;285,09;285,09;43;4,8;-;-
".. Rubéola";1;1;569,78;390,76;179,02;569,78;569,78;2;2,0;-;-
".. Hepatite aguda B";64;64;101114,83;90805,88;10308,95;1579,92;1579,92;469;7,3;9;14,06
".. Outras hepatites virais";122;122;60596,97;54079,52;6517,45;496,70;496,70;852;7,0;6;4,92
".. Doença pelo vírus da imunodefic humana [HIV]";1345;1349;2447403,19;2154544,03;292859,16;1814,24;1819,63;21234;15,8;175;13,01
".. Caxumba [parotidite epidêmica]";35;35;60162,09;51556,88;8605,21;1718,92;1718,92;196;5,6;1;2,86
".. Outras doenças virais";60614;60614;318762369,80;270751687,61;48010036,19;5258,89;5258,89;506866;8,4;12135;20,02
".... Meningite viral";105;105;140103,52;126426,23;13677,29;1334,32;1334,32;717;6,8;2;1,90
".... Restante de outras doenças virais";60509;60509;318622266,28;270625261,38;47996358,90;5265,70;5265,70;506149;8,4;12133;20,05
".. Micoses";191;191;376393,53;327816,91;48576,62;1970,65;1970,65;1676;8,8;16;8,38
".. Malária";91;91;27416,36;23460,95;3955,41;301,28;301,28;587;6,5;1;1,10
".... Malária por Plasmodium falciparum";16;16;5270,49;4571,12;699,37;329,41;329,41;302;18,9;-;-
".... Malária por Plasmodium vivax";67;67;18367,72;15434,84;2932,88;274,15;274,15;251;3,7;1;1,49
".... Malária por Plasmodium malariae";1;1;2114,41;2056,53;57,88;2114,41;2114,41;12;12,0;-;-
".... Malária não especificada";7;7;1663,74;1398,46;265,28;237,68;237,68;22;3,1;-;-
".. Leishmaniose";191;191;116894,69;102012,18;14882,51;612,01;612,01;2153;11,3;8;4,19
".... Leishmaniose visceral";108;108;68356,33;59519,75;8836,58;632,93;632,93;1292;12,0;4;3,70
".... Leishmaniose cutânea";33;33;10354,79;8883,63;1471,16;313,78;313,78;306;9,3;-;-
".... Leishmaniose cutâneo-mucosa";9;9;5003,60;4261,50;742,10;555,96;555,96;196;21,8;-;-
".... Leishmaniose não especificada";41;41;33179,97;29347,30;3832,67;809,27;809,27;359;8,8;4;9,76
".. Tripanossomíase";27;27;35142,51;30681,18;4461,33;1301,57;1301,57;170;6,3;6;22,22
".. Esquistossomose";5;5;1310,13;1096,45;213,68;262,03;262,03;22;4,4;-;-
".. Equinococose";1;1;291,62;248,44;43,18;291,62;291,62;8;8,0;-;-
".. Filariose";3;3;653,71;546,07;107,64;217,90;217,90;12;4,0;-;-
".. Ancilostomíase";1;1;205,67;162,49;43,18;205,67;205,67;2;2,0;-;-
".. Outras helmintíases";34;34;23066,32;19311,38;3754,94;678,42;678,42;180;5,3;-;-
".. Seqüelas de tuberculose";7;7;63863,19;55252,20;8610,99;9123,31;9123,31;63;9,0;-;-
".. Seqüelas de poliomielite";27;32;53853,50;44884,94;8968,56;1682,92;1994,57;374;13,9;1;3,70
".. Seqüelas de hanseníase [lepra]";7;11;10185,39;7859,69;2325,70;925,94;1455,06;147;21,0;-;-
".. Outras doenças infecciosas e parasitárias";1240;1240;1247921,09;1057916,46;190004,63;1006,39;1006,39;7385;6,0;39;3,15
"02 Neoplasias (tumores)";31289;31296;57000722,61;46855336,96;10131517,20;1821,34;1821,75;187313;6,0;4490;14,35
".. Neoplasia maligna do lábio cavid oral e faringe";1008;1009;1395718,47;1159610,10;236108,37;1383,27;1384,64;6029;6,0;150;14,88
".. Neoplasia maligna do esôfago";1007;1007;1316848,80;1118388,54;198460,26;1307,69;1307,69;5484;5,4;162;16,09
".. Neoplasia maligna do estômago";1604;1604;2711770,57;2308040,13;403730,44;1690,63;1690,63;8880;5,5;278;17,33
".. Neoplasia maligna do cólon";2739;2739;5470492,21;4637667,59;832567,28;1997,26;1997,26;13288;4,9;295;10,77
".. Neopl malig junção retoss reto ânus canal anal";1470;1471;2832641,21;2393265,81;439375,40;1925,66;1926,97;7908;5,4;157;10,68
".. Neopl malig fígado e vias biliares intra-hepát";517;517;742448,75;640426,85;102021,90;1436,07;1436,07;3368;6,5;153;29,59
".. Neoplasia maligna do pâncreas";856;856;1270382,30;1077480,64;192901,66;1484,09;1484,09;5290;6,2;224;26,17
".. Outras neoplasias malignas de órgãos digestivos";608;608;1178259,72;988145,30;185835,59;1937,93;1937,93;4548;7,5;155;25,49
".. Neoplasias malignas de laringe";548;548;628846,37;506692,88;122153,49;1147,53;1147,53;2734;5,0;85;15,51
".. Neoplasia maligna de traquéia brônquios e pulm";1494;1495;1805745,86;1518860,36;286885,50;1207,86;1208,67;9775;6,5;479;32,06
".. Outras neopl malig órg respirat e intratorác";203;203;484304,36;378282,97;106021,39;2385,74;2385,74;1545;7,6;45;22,17
".. Neoplasia maligna do osso e cartilagem articul";478;478;995369,44;836714,84;158654,60;2082,36;2082,36;2996;6,3;29;6,07
".. Neoplasia maligna da pele";211;211;222161,07;179880,45;42280,62;1052,90;1052,90;1051;5,0;42;19,91
".. Outras neoplasias malignas da pele";410;410;500211,46;379034,98;121176,48;1220,03;1220,03;975;2,4;34;8,29
".. Neopl malig do tecido mesotelial e tec moles";539;539;1256904,95;998071,16;258833,79;2331,92;2331,92;2937;5,4;68;12,62
".. Neoplasia maligna da mama";1872;1872;2245948,76;1721935,21;524013,55;1199,76;1199,76;9105;4,9;380;20,30
".. Neoplasia maligna do colo do útero";1020;1020;1266355,15;1072554,06;190947,97;1241,52;1241,52;6303;6,2;157;15,39
