 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Out/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";90899;91025;342291382,31;293703613,65;48584396,43;3760,41;3765,62;751444;8,3;16345;17,98
".. Cólera";27;27;20769,42;18810,34;1959,08;769,24;769,24;129;4,8;1;3,70
".. Febres tifóide e paratifóide";7;7;11163,91;9554,66;1609,25;1594,84;1594,84;35;5,0;-;-
".. Shiguelose";2;2;1814,02;1563,63;250,39;907,01;907,01;7;3,5;-;-
".. Amebíase";46;46;20752,12;18208,98;2543,14;451,13;451,13;198;4,3;-;-
".. Diarréia e gastroenterite origem infecc presum";4755;4755;1897303,32;1677723,27;219580,05;399,01;399,01;15474;3,3;46;0,97
".. Outras doenças infecciosas intestinais";3910;3910;1699547,52;1502962,79;196584,73;434,67;434,67;12236;3,1;25;0,64
".. Tuberculose respiratória";860;959;1537373,54;1222174,31;315199,23;1603,10;1787,64;11649;13,5;90;10,47
".... Tuberculose pulmonar";548;642;1009817,73;797474,71;212343,02;1572,92;1842,73;8533;15,6;50;9,12
".... Outras tuberculoses respiratórias";292;297;483707,41;387536,00;96171,41;1628,64;1656,53;2894;9,9;36;12,33
".... Restante de tuberculose respiratória";20;20;43848,40;37163,60;6684,80;2192,42;2192,42;222;11,1;4;20,00
".. Outras tuberculoses";100;101;179167,56;147191,67;31975,89;1773,94;1791,68;1227;12,3;8;8,00
".... Tuberculose do sistema nervoso";30;31;66205,68;53755,23;12450,45;2135,67;2206,86;476;15,9;4;13,33
".... Tuberc intest peritônio glângl mesentéricos";10;10;40331,03;33879,97;6451,06;4033,10;4033,10;143;14,3;-;-
".... Tuberculose óssea e das articulações";3;3;5310,14;4514,29;795,85;1770,05;1770,05;47;15,7;-;-
".... Tuberculose do aparelho geniturinário";2;2;418,38;319,23;99,15;209,19;209,19;5;2,5;-;-
".... Tuberculose miliar";37;37;32358,81;26489,09;5869,72;874,56;874,56;330;8,9;4;10,81
".... Restante de outras tuberculoses";18;18;34543,52;28233,86;6309,66;1919,08;1919,08;226;12,6;-;-
".. Peste";1;1;175,97;149,20;26,77;175,97;175,97;1;1,0;-;-
".. Hanseníase [lepra]";147;156;139689,93;111943,77;27746,16;895,45;950,27;1231;8,4;2;1,36
".. Tétano neonatal";1;1;628,29;488,69;139,60;628,29;628,29;3;3,0;-;-
".. Outros tétanos";8;8;40202,42;35464,95;4737,47;5025,30;5025,30;141;17,6;2;25,00
".. Difteria";4;4;3044,35;2666,66;377,69;761,09;761,09;13;3,3;1;25,00
".. Coqueluche";3;3;3025,67;2780,13;245,54;1008,56;1008,56;9;3,0;-;-
".. Infecção meningocócica";43;43;135398,73;120403,04;14995,69;3148,81;3148,81;571;13,3;5;11,63
".. Septicemia";9598;9599;35985146,48;31943103,40;4041528,98;3748,84;3749,23;102349;10,7;4363;45,46
".. Outras doenças bacterianas";14937;14938;27656246,56;24725892,48;2928871,70;1851,40;1851,53;119190;8,0;1772;11,86
".... Leptospirose icterohemorrágica";3;3;5154,04;4859,79;294,25;1718,01;1718,01;23;7,7;-;-
".... Outras formas de leptospirose";2;2;1930,11;1796,44;133,67;965,06;965,06;24;12,0;-;-
".... Leptospirose não especificada";44;44;77739,84;68298,11;9441,73;1766,81;1766,81;271;6,2;4;9,09
".... Restante de outras doenças bacterianas";14888;14889;27571422,57;24650938,14;2919002,05;1851,80;1851,92;118872;8,0;1768;11,88
".. Sífilis congênita";1579;1579;1231201,09;891405,46;339795,63;779,73;779,73;14512;9,2;4;0,25
".. Sífilis precoce";59;59;23742,29;20546,31;3195,98;402,41;402,41;508;8,6;-;-
".. Outras sífilis";105;105;88944,52;59338,43;29606,09;847,09;847,09;1070;10,2;-;-
".. Infecção gonocócica";8;8;2794,45;2395,96;398,49;349,31;349,31;42;5,3;-;-
".. Doenças por clamídias transmitidas via sexual";2;2;565,94;470,48;95,46;282,97;282,97;10;5,0;-;-
".. Outras infecções com transm predominant sexual";59;59;22522,26;17185,83;5336,43;381,73;381,73;338;5,7;-;-
".. Febres recorrentes";50;50;17972,25;15342,58;2629,67;359,44;359,44;162;3,2;1;2,00
".. Raiva";9;9;24444,88;21171,58;3273,30;2716,10;2716,10;66;7,3;-;-
".. Encefalite viral";119;119;302225,12;272912,13;29312,99;2539,71;2539,71;1386;11,6;9;7,56
".. Febre amarela";1;1;297,67;244,65;53,02;297,67;297,67;3;3,0;-;-
".. Outras febre p/arbovírus e febr hemorr p/vírus";507;507;187070,36;155684,89;31385,47;368,98;368,98;1942;3,8;5;0,99
".... Dengue [dengue clásssico]";415;415;155656,01;128978,03;26677,98;375,07;375,07;1578;3,8;4;0,96
".... Febre hemorrágica devida ao vírus da dengue";24;24;15586,45;13435,03;2151,42;649,44;649,44;106;4,4;1;4,17
".... Restante outr febr arbovírus febr hemor vírus";68;68;15827,90;13271,83;2556,07;232,76;232,76;258;3,8;-;-
".. Infecções pelo vírus do herpes";90;90;53153,43;42266,05;10887,38;590,59;590,59;533;5,9;1;1,11
".. Varicela e herpes zoster";241;241;337860,79;294717,07;43143,72;1401,91;1401,91;1587;6,6;15;6,22
".. Sarampo";3;3;1730,83;1589,44;141,39;576,94;576,94;9;3,0;-;-
".. Hepatite aguda B";68;68;93308,55;84648,42;8660,13;1372,18;1372,18;480;7,1;6;8,82
".. Outras hepatites virais";183;183;109997,69;98171,18;11826,51;601,08;601,08;1151;6,3;14;7,65
".. Doença pelo vírus da imunodefic humana [HIV]";1477;1481;2562505,66;2265394,18;297111,48;1730,25;1734,94;22523;15,2;199;13,47
".. Caxumba [parotidite epidêmica]";25;25;6868,81;6034,95;833,86;274,75;274,75;106;4,2;-;-
".. Outras doenças virais";49920;49922;265999777,61;226282946,95;39715454,91;5328,31;5328,52;426858;8,6;9700;19,43
".... Meningite viral";108;108;148205,26;133925,43;14279,83;1372,27;1372,27;812;7,5;2;1,85
".... Restante de outras doenças virais";49812;49814;265851572,35;226149021,52;39701175,08;5336,88;5337,10;426046;8,6;9698;19,47
".. Micoses";190;190;319157,42;276883,83;42273,59;1679,78;1679,78;1887;9,9;25;13,16
".. Malária";155;155;76903,68;65647,30;11256,38;496,15;496,15;594;3,8;1;0,65
".... Malária por Plasmodium falciparum";23;23;17128,12;15035,31;2092,81;744,70;744,70;139;6,0;-;-
".... Malária por Plasmodium vivax";84;84;29551,18;24976,47;4574,71;351,80;351,80;305;3,6;-;-
".... Malária por Plasmodium malariae";10;10;11792,66;9689,72;2102,94;1179,27;1179,27;57;5,7;-;-
".... Malária não especificada";38;38;18431,72;15945,80;2485,92;485,05;485,05;93;2,4;1;2,63
".. Leishmaniose";178;178;111014,06;97495,60;13518,46;623,67;623,67;2046;11,5;7;3,93
".... Leishmaniose visceral";103;103;66319,29;58059,79;8259,50;643,88;643,88;1163;11,3;7;6,80
".... Leishmaniose cutânea";36;36;25680,63;22396,18;3284,45;713,35;713,35;444;12,3;-;-
".... Leishmaniose cutâneo-mucosa";13;13;4421,81;3712,66;709,15;340,14;340,14;167;12,8;-;-
".... Leishmaniose não especificada";26;26;14592,33;13326,97;1265,36;561,24;561,24;272;10,5;-;-
".. Tripanossomíase";26;26;51277,05;44179,79;7097,26;1972,19;1972,19;210;8,1;5;19,23
".. Esquistossomose";7;7;1959,35;1681,65;277,70;279,91;279,91;34;4,9;2;28,57
".. Outras infestações por trematódeos";1;1;365,91;307,25;58,66;365,91;365,91;12;12,0;-;-
".. Filariose";3;3;5311,66;4571,92;739,74;1770,55;1770,55;31;10,3;-;-
".. Outras helmintíases";50;50;21272,65;17916,82;3355,83;425,45;425,45;265;5,3;1;2,00
".. Seqüelas de tuberculose";11;11;38112,62;30300,70;7811,92;3464,78;3464,78;189;17,2;-;-
".. Seqüelas de poliomielite";17;22;34546,17;29877,92;4668,25;1570,28;2032,13;236;13,9;-;-
".. Seqüelas de hanseníase [lepra]";9;13;65725,80;51729,05;13996,75;5055,83;7302,87;221;24,6;-;-
".. Outras doenças infecciosas e parasitárias";1298;1298;1167301,93;1009473,31;157828,62;899,31;899,31;7970;6,1;35;2,70
"02 Neoplasias (tumores)";31838;31848;56110687,91;46191166,21;9907803,57;1761,83;1762,38;195551;6,1;4521;14,20
".. Neoplasia maligna do lábio cavid oral e faringe";1085;1086;1626760,93;1354354,55;272406,38;1497,94;1499,32;6831;6,3;203;18,71
".. Neoplasia maligna do esôfago";1090;1090;1437324,25;1225521,07;211803,18;1318,65;1318,65;6498;6,0;193;17,71
".. Neoplasia maligna do estômago";1581;1581;2660801,31;2277188,44;383612,87;1682,99;1682,99;9522;6,0;278;17,58
".. Neoplasia maligna do cólon";2558;2558;5067040,43;4281028,73;785939,65;1980,86;1980,86;13188;5,2;274;10,71
".. Neopl malig junção retoss reto ânus canal anal";1476;1476;3039306,24;2561437,90;477589,76;2059,15;2059,15;8049;5,5;177;11,99
".. Neopl malig fígado e vias biliares intra-hepát";607;607;952436,36;824617,67;127449,51;1569,09;1569,09;3982;6,6;184;30,31
".. Neoplasia maligna do pâncreas";779;779;1303497,29;1106394,28;197103,01;1673,30;1673,30;5187;6,7;215;27,60
".. Outras neoplasias malignas de órgãos digestivos";651;651;1266478,88;1065776,07;194440,91;1945,44;1945,44;4859;7,5;156;23,96
".. Neoplasias malignas de laringe";529;529;614550,14;483991,04;130559,10;1161,72;1161,72;2758;5,2;80;15,12
".. Neoplasia maligna de traquéia brônquios e pulm";1477;1483;1799529,45;1540457,69;259071,76;1213,44;1218,37;10755;7,3;485;32,84
".. Outras neopl malig órg respirat e intratorác";235;235;621002,33;495076,75;125925,58;2642,56;2642,56;1590;6,8;35;14,89
".. Neoplasia maligna do osso e cartilagem articul";517;517;1139862,69;971281,00;168581,69;2204,76;2204,76;3332;6,4;41;7,93
".. Neoplasia maligna da pele";185;185;169437,24;136387,67;33049,57;915,88;915,88;858;4,6;32;17,30
".. Outras neoplasias malignas da pele";412;412;484888,37;368378,79;116509,58;1176,91;1176,91;1014;2,5;23;5,58
".. Neopl malig do tecido mesotelial e tec moles";586;586;1378823,88;1094216,12;284607,76;2352,94;2352,94;3551;6,1;55;9,39
".. Neoplasia maligna da mama";1812;1814;2170719,64;1680281,68;490437,96;1196,65;1197,97;9052;5,0;361;19,92
".. Neoplasia maligna do colo do útero";1109;1109;1244423,26;1058981,48;181083,66;1122,11;1122,11;7411;6,7;156;14,07
".. Neopl malig outr porções e porç não espec útero";376;376;495808,69;406337,65;89141,74;1318,64;1318,64;1958;5,2;64;17,02
".. Outras neopl malignas órgãos genitais femininos";668;668;1201294,00;970470,50;230823,50;1798,34;1798,34;3393;5,1;90;13,47
".. Neoplasia maligna da próstata";1075;1075;1405250,27;1140622,66;264627,61;1307,21;1307,21;6318;5,9;166;15,44
".. Outras neopl malignas órgãos genit masculinos";277;277;344521,94;286342,42;58179,52;1243,76;1243,76;1679;6,1;31;11,19
".. Neoplasia maligna da bexiga";658;658;1023954,09;858476,06;165478,03;1556,16;1556,16;4160;6,3;81;12,31
".. Outras neoplasias malignas do trato urinário";372;372;660126,21;554078,38;106047,83;1774,53;1774,53;2351;6,3;50;13,44
".. Neoplasia maligna dos olhos e anexos";106;106;130942,48;105866,05;25076,43;1235,31;1235,31;309;2,9;3;2,83
".. Neoplasia maligna do encéfalo";892;892;2649013,46;1957672,64;691340,82;2969,75;2969,75;8061;9,0;147;16,48
".. Neopl malig outras partes sistema nerv central";186;186;665225,24;499539,51;165685,73;3576,48;3576,48;1938;10,4;23;12,37
".. Neopl malig outr local mal def secun e não esp";1768;1768;3051590,06;2493162,13;558427,93;1726,01;1726,01;10789;6,1;321;18,16
".. Doença de Hodgkin";212;212;340375,30;296598,37;43776,93;1605,54;1605,54;1125;5,3;6;2,83
".. Linfoma não-Hodgkin";921;921;1647306,42;1480021,83;167284,59;1788,61;1788,61;6932;7,5;95;10,31
".. Leucemia";1964;1964;5749863,83;5219338,67;530525,16;2927,63;2927,63;17103;8,7;149;7,59
".. Outras neopl malig tecidos linfóid hemat e rel";464;464;1135323,01;999240,87;136082,14;2446,82;2446,82;3801;8,2;59;12,72
".. Carcinoma in situ de colo do útero";84;84;91550,53;69257,22;22293,31;1089,89;1089,89;112;1,3;1;1,19
".. Neoplasia benigna da pele";154;154;81595,08;60337,72;21257,36;529,84;529,84;166;1,1;1;0,65
".. Neoplasia benigna da mama";56;56;73187,30;47011,45;26175,85;1306,92;1306,92;29;0,5;-;-
".. Leiomioma do útero";1596;1596;1197342,42;822258,74;375034,68;750,21;750,21;4644;2,9;1;0,06
".. Neoplasia benigna do ovário";46;46;38237,07;28355,59;9881,48;831,24;831,24;146;3,2;-;-
".. Neoplasia benigna dos órgãos urinários";13;13;27082,84;21899,63;5183,21;2083,30;2083,30;93;7,2;1;7,69
".. Neopl benig encéfalo e outr part sist nerv cent";173;173;843889,76;594134,79;249754,97;4877,98;4877,98;2100;12,1;9;5,20
".. Outr neopl in situ benigs e comport incert desc";3088;3089;6280325,22;4754772,40;1525552,82;2033,13;2033,78;19907;6,4;275;8,91
"03 Doenças sangue órgãos hemat e transt imunitár";7370;7370;5484680,46;4877540,02;607020,34;744,19;744,19;40657;5,5;352;4,78
".. Anemia por deficiência de ferro";906;906;397487,40;353891,38;43535,97;438,73;438,73;4119;4,5;38;4,19
".. Outras anemias";5289;5289;3866781,16;3438661,63;428059,48;731,10;731,10;28691;5,4;268;5,07
".. Afecç hemorrág e outr doenç sang e órg hematop";1134;1134;1182613,49;1053373,72;129239,77;1042,87;1042,87;7690;6,8;45;3,97
".. Alguns transtornos envolvendo mecanismo imunit";41;41;37798,41;31613,29;6185,12;921,91;921,91;157;3,8;1;2,44
"04 Doenças endócrinas nutricionais e metabólicas";15952;15952;12791099,57;10867189,45;1919523,70;801,85;801,85;92746;5,8;1018;6,38
".. Transtornos tireoidianos relac deficiência iodo";2;2;5905,34;5136,97;768,37;2952,67;2952,67;42;21,0;-;-
".. Tireotoxicose";27;27;15220,74;12159,53;3061,21;563,73;563,73;147;5,4;-;-
".. Outros transtornos tireoidianos";78;78;52037,68;42353,48;9684,20;667,15;667,15;446;5,7;3;3,85
".. Diabetes mellitus";10373;10373;8953517,36;7651661,39;1297469,55;863,16;863,16;62366;6,0;467;4,50
".. Desnutrição";2133;2133;1912975,20;1592619,33;320355,87;896,85;896,85;14684;6,9;312;14,63
".. Deficiência de vitamina A";1;1;707,46;667,29;40,17;707,46;707,46;2;2,0;-;-
".. Outras deficiências vitamínicas";7;7;6796,44;6187,80;608,64;970,92;970,92;48;6,9;2;28,57
".. Obesidade";65;65;302915,29;207517,72;95397,57;4660,24;4660,24;180;2,8;3;4,62
".. Depleção de volume";1101;1101;272196,16;235941,39;36254,77;247,23;247,23;3595;3,3;82;7,45
".. Outros transt endócrinos nutricionais metabólic";2165;2165;1268827,90;1112944,55;155883,35;586,06;586,06;11236;5,2;149;6,88
"05 Transtornos mentais e comportamentais";14936;20557;18560182,80;16343283,30;2216899,50;902,86;1242,65;315374;21,1;77;0,52
".. Demência";148;214;238905,37;218736,84;20168,53;1116,38;1614,23;3533;23,9;8;5,41
".. Transt mentais e comportamentais dev uso álcool";2260;2856;2473501,35;2173516,07;299985,28;866,07;1094,47;41792;18,5;21;0,93
".. Transt ment comport dev uso outr subst psicoat";2580;3217;2625168,54;2307001,25;318167,29;816,03;1017,51;43289;16,8;15;0,58
".. Esquizofrenia transt esquizotípicos e delirant";4746;7765;8295735,28;7302006,62;993728,66;1068,35;1747,94;139576;29,4;15;0,32
".. Transtornos de humor [afetivos]";3767;4548;3482090,12;3068067,49;414022,63;765,63;924,37;60275;16,0;12;0,32
".. Transt neurót e relacionados com stress somatof";168;173;53060,14;47040,65;6019,49;306,71;315,83;1073;6,4;-;-
".. Retardo mental";256;529;601469,42;529885,55;71583,87;1136,99;2349,49;10969;42,8;1;0,39
".. Outros transtornos mentais e comportamentais";1011;1255;790252,58;697028,83;93223,75;629,68;781,65;14867;14,7;5;0,49
"06 Doenças do sistema nervoso";11078;11496;17337387,75;14556243,76;2781143,99;1508,12;1565,03;92944;8,4;629;5,68
".. Doenças inflamatórias do sistema nervoso centr";648;654;1455859,64;1233542,86;222316,78;2226,09;2246,70;11694;18,0;37;5,71
".... Meningite bacteriana não classif outra parte";174;174;531674,02;466278,47;65395,55;3055,60;3055,60;2240;12,9;13;7,47
