 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Jan/2021
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";100421;100542;390455463,86;333964311,54;56483992,57;3883,51;3888,19;814554;8,1;19250;19,17
".. Cólera";31;31;88866,12;75552,92;13313,20;2866,65;2866,65;169;5,5;3;9,68
".. Febres tifóide e paratifóide";4;4;3010,17;2683,56;326,61;752,54;752,54;26;6,5;-;-
".. Shiguelose";2;2;697,80;618,80;79,00;348,90;348,90;6;3,0;-;-
".. Amebíase";40;40;32630,07;28845,00;3785,07;815,75;815,75;203;5,1;-;-
".. Diarréia e gastroenterite origem infecc presum";4319;4319;1831272,26;1622015,60;209196,61;424,00;424,00;14299;3,3;54;1,25
".. Outras doenças infecciosas intestinais";3196;3196;1437876,28;1269573,68;168302,60;449,90;449,90;9993;3,1;38;1,19
".. Tuberculose respiratória";825;903;1762809,03;1427111,52;335697,51;1952,17;2136,74;11627;14,1;89;10,79
".... Tuberculose pulmonar";558;636;1200336,46;966633,86;233702,60;1887,32;2151,14;8839;15,8;54;9,68
".... Outras tuberculoses respiratórias";247;247;504457,89;411323,82;93134,07;2042,34;2042,34;2556;10,3;33;13,36
".... Restante de tuberculose respiratória";20;20;58014,68;49153,84;8860,84;2900,73;2900,73;232;11,6;2;10,00
".. Outras tuberculoses";111;113;227471,75;189337,25;38134,50;2013,02;2049,30;1372;12,4;16;14,41
".... Tuberculose do sistema nervoso";23;23;54833,09;45264,43;9568,66;2384,05;2384,05;317;13,8;5;21,74
".... Tuberc intest peritônio glângl mesentéricos";7;7;20883,67;17652,74;3230,93;2983,38;2983,38;87;12,4;1;14,29
".... Tuberculose óssea e das articulações";4;4;8603,87;6863,70;1740,17;2150,97;2150,97;78;19,5;-;-
".... Tuberculose miliar";51;51;106357,92;89172,28;17185,64;2085,45;2085,45;568;11,1;10;19,61
".... Restante de outras tuberculoses";26;28;36793,20;30384,10;6409,10;1314,04;1415,12;322;12,4;-;-
".. Brucelose";1;1;622,97;569,50;53,47;622,97;622,97;2;2,0;-;-
